id,name,type,amount,min_purchase,expires,enabled,code,applies_to,num_uses,max_uses,max_uses_per_customer,restricted_to,shipping_methods,date_created
9862,€3.00 OFF Your Order - €3 OFF740c9518dee6,per_total_discount,3.0000,0.0000,,1,€3 OFF740c9518dee6,"{""entity"":""categories"",""ids"":[0]}",1,1,0,[],,"Tue, 16 Jul 2019 15:04:44 +0000"
9863,In House Free Delivery,per_total_discount,2.9900,0.0000,,1,FSHIP1,"{""entity"":""categories"",""ids"":[0]}",22,0,0,[],,"Tue, 16 Jul 2019 15:14:35 +0000"
9864,10% OFF Retail Me Not,percentage_discount,10.0000,0.0000,,1,RTM10,"{""entity"":""categories"",""ids"":[0]}",772,0,1,[],,"Tue, 16 Jul 2019 15:14:35 +0000"
9865,15% Off Win Win Customers,percentage_discount,15.0000,0.0000,,1,WINWIN15,"{""entity"":""categories"",""ids"":[0]}",1,0,1,[],,"Tue, 16 Jul 2019 15:14:36 +0000"
9866,Social Media Ad - 2020,percentage_discount,15.0000,0.0000,"Mon, 30 Nov 2020 23:00:00 +0000",,BLACK,"{""entity"":""categories"",""ids"":[0]}",17,0,0,[],,"Tue, 16 Jul 2019 15:14:36 +0000"
9867,â‚¬10 OFF Coupon - df448c482139,per_total_discount,10.0000,0.0000,,1,df448c482139,"{""entity"":""categories"",""ids"":[0]}",0,0,1,[],,"Tue, 16 Jul 2019 15:14:37 +0000"
9868,Google Adwords Promo Code,percentage_discount,10.0000,0.0000,"Tue, 29 Jun 2021 23:00:00 +0000",1,IRISH10,"{""entity"":""categories"",""ids"":[0]}",50,0,0,[],,"Tue, 16 Jul 2019 15:14:37 +0000"
9869,â‚¬3 OFF Coupon - â‚¬3_OFF_b44c5f150953,per_total_discount,3.0000,0.0000,,1,â‚¬3_OFF_b44c5f150953,"{""entity"":""categories"",""ids"":[0]}",0,0,1,[],,"Tue, 16 Jul 2019 15:14:38 +0000"
9870,â‚¬25 OFF Coupon - d7bb71d29e72,per_total_discount,25.0000,0.0000,,1,d7bb71d29e72,"{""entity"":""categories"",""ids"":[0]}",0,0,1,[],,"Tue, 16 Jul 2019 15:14:38 +0000"
9871,â‚¬3 OFF Coupon - â‚¬3_OFF_c173e59f8b09,per_total_discount,3.0000,0.0000,,1,â‚¬3_OFF_c173e59f8b09,"{""entity"":""categories"",""ids"":[0]}",0,0,1,[],,"Tue, 16 Jul 2019 15:14:39 +0000"
9872,â‚¬10 OFF Coupon - 003f410ad36c,per_total_discount,10.0000,0.0000,,1,003f410ad36c,"{""entity"":""categories"",""ids"":[0]}",0,0,1,[],,"Tue, 16 Jul 2019 15:14:39 +0000"
