ID,Parent Id,Name,Has Page Title,Has Meta Description,Has Content,Description 301s,#Desc. 301s,Description 404s,#Des. 404s,Is Visible,Has Banner,No. of live banners,Contains Redirects,Contains Broken Links,No. of Redirected URLs,No. of Broken URLs,Products,Products In Stock,301 URLs,404 URLs,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Meta Keywords,Search Keywords
966,0,Fertility,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,78,59,"[{""Banner Id"":202,""301 URLs"":[]}]","[{""Banner Id"":202,""404 URLs"":[]}]",Products To Help You Conceive & Get Pregnant,44,If you are in search of products to help you conceive then Inhealth has a range of products to help you get pregnant. Order before 2pm for next day delivery,156,https://www.inhealth.ie/trying-to-conceive/,Trying To Conceive,Trying To Conceive
970,0,Baby Safety,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,223,154,"[{""Banner Id"":255,""301 URLs"":[]}]","[{""Banner Id"":255,""404 URLs"":[]}]",Baby & Child Safety Products From Ireland: Baby-Proof Your Home,63,Baby-proofing your home is essential if you have a baby or toddler. Inhealth offers a range of child safety products shipped from Ireland. Order now!,149,https://www.inhealth.ie/baby-safety/,Baby Safety,Baby Safety
971,0,Health,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,5,0,176,88,"[{""Banner Id"":252,""301 URLs"":[""https://www.inhealth.ie/nebulizers-1/"",""https://www.inhealth.ie/dual-mode-thermometer-exclusive-to-inhealth/"",""https://www.inhealth.ie/pedometers/"",""https://www.inhealth.ie/foot-care/"",""https://www.inhealth.ie/tena-continence-care/""]}]","[{""Banner Id"":252,""404 URLs"":[]}]",Health & Personal Care Products For Men & Women From Ireland,60,Inhealth offers health & personal care products for men & women shipped directly from our Irish-based warehouse. Order before 2pm for same-day dispatch!,152,https://www.inhealth.ie/health/,Health,Health
973,966,Fertility Monitors & Aids,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,11,5,"[{""Banner Id"":204,""301 URLs"":[]}]","[{""Banner Id"":204,""404 URLs"":[]}]",Fertility Monitors & Aids: Products To Help You Conceive ,57,Find out when you are most fertile and have the best chance of conceiving with our range of fertility monitors and aids. Enjoy next day delivery from Ireland,157,https://www.inhealth.ie/fertility-monitors-aids/,Fertility Monitors & Aids,Fertility Monitors & Aids
975,970,Stair Gates,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,72,58,"[{""Banner Id"":254,""301 URLs"":[]}]","[{""Banner Id"":254,""404 URLs"":[]}]","Baby Gates For Stairs: Shop BabyDan, Dreambaby & Much More",58,"Buy baby stair gates by top brands including BabyDan, Dreambaby & Safetots from Inhealth & get same-day dispatch when you order before 2pm. Order yours today!",158,https://www.inhealth.ie/stair-gates/,Stair Gates,Stair Gates
976,971,Blood Pressure Monitors,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,8,5,"[{""Banner Id"":232,""301 URLs"":[""https://www.inhealth.ie/omron-m6-comfort-blood-pressure-monitor/""]}]","[{""Banner Id"":232,""404 URLs"":[]}]",Blood Pressure Monitors: Check Your Blood Pressure With Ease,60,"Inhealth offer an array of different blood pressure monitors that allow you to check blood pressure anytime, anywhere. Order by 2pm and get next day delivery.",158,https://www.inhealth.ie/blood-pressure-monitors/,Blood Pressure Monitors,Blood Pressure Monitors
983,975,Retractable Safety Gates,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,2,0,9,7,"[{""Banner Id"":286,""301 URLs"":[""https://www.inhealth.ie/babydan-guard-me-auto-foldable-safety-guard-from-55-89cm/"",""https://www.inhealth.ie/dreambaby-retractable-stair-gate/""]}]","[{""Banner Id"":286,""404 URLs"":[]}]",Retractable Gate: Shop Retractable Safety Stair Gates,53,Retractable Stair Gates are the perfect solution if you don’t require the stair gate to be constant use. As the gate is retractable it also mean that stair gate does not have to be visible all the time,201,https://www.inhealth.ie/retractable-safety-gates/,,
1005,971,Hair Loss,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,2,0,18,14,"[{""Banner Id"":248,""301 URLs"":[""https://www.inhealth.ie/brands/Nourkin.html"",""https://www.inhealth.ie/brands/Viviscal.html""]}]","[{""Banner Id"":248,""404 URLs"":[]}]",Hair Loss Products,18,Shop Our Hair Loss Products Now! Best Price and Next Day Delivery Ireland. Order Online Today!,94,https://www.inhealth.ie/hair-loss/,Hair Loss,Hair Loss
1023,0,Pregnancy & New Mum,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,221,142,"[{""Banner Id"":209,""301 URLs"":[]}]","[{""Banner Id"":209,""404 URLs"":[]}]",Pregnancy & New Mum Products: Best Maternity Products,53,Buy pregnancy & new mum products online from Inhealth & enjoy next day fully-tracked delivery via An Post when ordered before 2pm. Order yours today!,149,https://www.inhealth.ie/pregnancy-new-mum/,Pregnancy & New Mum ,Pregnancy & New Mum 
1029,971,Pedometers,TRUE,TRUE,FALSE,[],0,[],0,FALSE,TRUE,1,FALSE,FALSE,0,0,2,0,"[{""Banner Id"":240,""301 URLs"":[]}]","[{""Banner Id"":240,""404 URLs"":[]}]",Pedometers : Portable Step Counter For Counting Steps,53,A pedometer is a portable device that counts each step a person takes by detecting movement. Order your pedometer today and get next day delivery in Ireland,156,https://www.inhealth.ie/pedometers/,Pedometers,Pedometers
1031,970,Baby Proof Your Home,TRUE,TRUE,TRUE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,94,61,"[{""Banner Id"":253,""301 URLs"":[]}]","[{""Banner Id"":253,""404 URLs"":[]}]",Baby Proof Your Home: Smart Solutions For Everyday Hazards ,59,Shop our ingenious collection of baby safety products to keep curious fingers safe from potential hazards in and around the home. Buy direct from Ireland today!,160,https://www.inhealth.ie/baby-proof-your-home/,Baby Proof Your Home,Baby Proof Your Home
1034,0,Baby Essentials,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,3,TRUE,FALSE,2,0,365,212,"[{""Banner Id"":233,""301 URLs"":[]},{""Banner Id"":234,""301 URLs"":[""https://www.inhealth.ie/baby-changing-time/""]},{""Banner Id"":235,""301 URLs"":[""https://www.inhealth.ie/baby-changing-time/""]}]","[{""Banner Id"":233,""404 URLs"":[]},{""Banner Id"":234,""404 URLs"":[]},{""Banner Id"":235,""404 URLs"":[]}]","New-Born, Baby & Mum Essentials: Things To Buy For Baby",55,"We have all of your new-born, baby and mum essentials in one place to make your life that little bit easier. Looking for things to buy for a friend's baby?",155,https://www.inhealth.ie/baby-essentials/,,
1038,971,Home Health Tests,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,12,5,"[{""Banner Id"":250,""301 URLs"":[]}]","[{""Banner Id"":250,""404 URLs"":[]}]",Home Health Testing: Drug Test Kits & Alcohol Test Kits,55,"Buy home health testing kits from Inhealth, including drug & alcohol test kits & get discreet same working day dispatch when ordered by 2pm. Shop now!",150,https://www.inhealth.ie/home-health-tests/,Home Health Tests,Home Health Tests
1042,0,SALE,TRUE,TRUE,TRUE,[],0,[],0,TRUE,FALSE,0,FALSE,FALSE,0,0,103,64,[],[],Pregnancy & Baby Sale Event | inhealth.ie,41,Shop Our Pregnancy & Baby Fair Products Now! Best Price and Next Day Delivery Ireland. Order Online Today!,106,https://www.inhealth.ie/pregnancy-baby-sale/,PREGNANCY & BABY SALE,PREGNANCY & BABY SALE
1045,1031,Window & Door Locks 1,FALSE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,[],[],,0,,0,https://www.inhealth.ie/window-door-locks-1/,,
1047,0,Breastfeeding,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,107,79,"[{""Banner Id"":224,""301 URLs"":[]}]","[{""Banner Id"":224,""404 URLs"":[]}]",Buy Breastfeeding Products Online: Best Breastfeeding Products,62,Buy breastfeeding products online from Inhealth for the best range of breast pumps from an Irish-based stockist. Order yours before 2pm for next day delivery,157,https://www.inhealth.ie/breastfeeding/,Breastfeeding,Breastfeeding
1048,1031,Home Safety Kits,TRUE,TRUE,FALSE,[],0,[],0,TRUE,FALSE,0,FALSE,FALSE,0,0,3,1,[],[],Home Safety Kits | inhealth.ie,30,Shop Our Home Safety Kits Products Now! Best Price and Next Day Delivery Ireland. Order Online Today!,101,https://www.inhealth.ie/home-safety-kits/,Home Safety Kits,Home Safety Kits
1050,1471,Grobags & Sleep Accessories,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,52,28,"[{""Banner Id"":295,""301 URLs"":[]}]","[{""Banner Id"":295,""404 URLs"":[]}]",Grobags & Sleep Accessories: Browse Night Lights & Sleepwares,61,Browse our range of cosy baby grobags and sleep accessories including night lights and comforters intended to give your little one the perfect nights sleep.,156,https://www.inhealth.ie/grobags-sleep-accessories/,Grobags,Grobags
1054,1023,Fetal Dopplers,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,6,4,"[{""Banner Id"":212,""301 URLs"":[]}]","[{""Banner Id"":212,""404 URLs"":[]}]",Buy Fetal Dopplers: Baby Heart Monitor To Use At Home,53,Buy a fetal doppler to listen to your baby's heartbeat. All of our stocked fetal dopplers are safe to use at home. Next day delivery direct from Ireland,152,https://www.inhealth.ie/fetal-dopplers/,Fetal Dopplers,"Fetal Dopplers, doppler, doopler"
1059,1471,Night Lights & Sleeping Comforters,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,28,21,"[{""Banner Id"":300,""301 URLs"":[""https://www.inhealth.ie/sleepytot-big-bunny-baby-comforter/""]}]","[{""Banner Id"":300,""404 URLs"":[]}]",Night Lights and Baby Sleeping Comforters Direct from Ireland,61,Baby night lights and sleeping comforters are fantastic way to help your baby enjoy a great nights sleep. Order today and get next day delivery in Ireland,154,https://www.inhealth.ie/night-lights-sleeping-comforters/,Night Lights & Sleeping Comforters,Night Lights & Sleeping Comforters
1060,1042,Trimester 1,TRUE,TRUE,TRUE,"[""https://www.inhealth.ie/mama-mio-tummy-rub-butter-supersize-240g/""]",1,[],0,TRUE,FALSE,0,FALSE,FALSE,0,0,23,17,[],[],Shop Essential Pregnancy Products For Trimester One,51,A healthy first trimester is crucial to the normal development of your baby. We have put together a list of pregnancy products that you might find useful,153,https://www.inhealth.ie/trimester-1/,Trimester 1,Trimester 1
1065,1023,Pregnancy Support Belt,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,23,13,"[{""Banner Id"":217,""301 URLs"":[]}]","[{""Banner Id"":217,""404 URLs"":[]}]",Pregnancy Support Belts: Shop Maternity Support Belt Products,61,Pregnancy belts are very discreet and provide a supportive lift during your pregnancy. Order before 2pm and get next day delivery in Ireland. Buy yours today!,158,https://www.inhealth.ie/pregnancy-support-belt/,,
1066,966,Fertility Tests,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,4,4,"[{""Banner Id"":205,""301 URLs"":[]}]","[{""Banner Id"":205,""404 URLs"":[]}]",Male & Female Fertility Tests For Couples To Check Fertility,60,Buy male & female fertility tests so that couples can check fertility in their own homes. Inhealth offers same day dispatch on orders placed before 2pm direct from our Irish-based warehouse. Order now!,201,https://www.inhealth.ie/fertility-tests/,Fertility Tests - Male & Female,Fertility Tests - Male & Female
1081,1047,Nursing Underwear,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,9,6,"[{""Banner Id"":231,""301 URLs"":[""https://www.inhealth.ie/carriwell-lace-drop-cup-nursing/""]}]","[{""Banner Id"":231,""404 URLs"":[]}]",Nursing Underwear: Designed To Mould To Your Changing Body,58,Our range of breasting bra's are designed to make nursing easy without sacrificing style or quality. Shop today and get next day tracked delivery in Ireland. ,158,https://www.inhealth.ie/nursing-underwear/,Nursing Underwear,Nursing Underwear
1082,1059,Babygrows & Swaddles,TRUE,FALSE,TRUE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,[],[],Babygrows & Swaddles,20,,0,https://www.inhealth.ie/babygrows-swaddles/,,
1085,1031,Blind Safety,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,2,2,"[{""Banner Id"":273,""301 URLs"":[]}]","[{""Banner Id"":273,""404 URLs"":[]}]",Blind Cord Safety : Shop Blind Cord Safety Device Online,56,Blind cord safety is the most important child safety action to implement in the home. Shop our blind cord safety devices online today and get next day delivery,159,https://www.inhealth.ie/blind-safety/,Blind Safety,Blind Safety
1090,1023,Pelvic Toners,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,17,11,"[{""Banner Id"":214,""301 URLs"":[]}]","[{""Banner Id"":214,""404 URLs"":[]}]",Pelvic Toners: Kegel8 Pelvic Floor Toners,41,We offer a wide choice of pelvic toners to assist you in healthy pelvic toning during pregnancy & the post-natal period. Order before 2pm for next day delivery,159,https://www.inhealth.ie/pelvic-toners/,Pelvic Toners,Pelvic Toners
1096,0,Wholesale,TRUE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,0,0,[],[],Wholesale,9,,0,https://www.inhealth.ie/wholesale-1/,,
1098,1059,Baby Bedroom Lights & Accessories,TRUE,FALSE,TRUE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,3,1,[],[],Baby Bedroom Accessories,24,,0,https://www.inhealth.ie/baby-bedroom-lights-accessories/,,
1102,971,Condoms & Sexual Health,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,29,23,"[{""Banner Id"":242,""301 URLs"":[]}]","[{""Banner Id"":242,""404 URLs"":[]}]",Condoms & Sexual Health: Ensuring Ultimate Pleasure & Safety ,61,Sexual health is about ensuring pleasure & safety at all times. Protect yourself from STIs and unplanned pregnancy with our range of Durex Condoms & Accessories,160,https://www.inhealth.ie/condoms-sexual-health/,Condoms & Sexual Health,Condoms & Sexual Health
1113,975,Stair Gate Extensions,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,18,12,"[{""Banner Id"":292,""301 URLs"":[""https://www.inhealth.ie/dreambaby-retractable-stair-gate/""]}]","[{""Banner Id"":292,""404 URLs"":[]}]",Stair Gate Extensions: Shop Safety Gate Extensions Online,57,Stair Gate Extensions are a great solution to ensure that larger spaces or doorway can be well secured and baby proofed. We stock a wide variety of stair gate extension to meet all your space requirements,204,https://www.inhealth.ie/stair-gate-extensions/,,
1114,1471,Cots & Cribs,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,TRUE,FALSE,1,0,42,19,"[{""Banner Id"":299,""301 URLs"":[""https://www.inhealth.ie/chicco-next2me-bedside-crib-dove-grey-free-sheet-grobag/""]}]","[{""Banner Id"":299,""404 URLs"":[]}]","Baby Cots, Cribs & Accessories: Cots, Travel Cribs & Bedding",60,Our range of baby cots and travel cribs are sure to keep your little one cosy through the night. Browse our baby bedding and mattresses for ultimate comfort!,157,https://www.inhealth.ie/cots-cribs/,Cots & Cribs,Cots & Cribs
1117,971,Tena (Continence Care),TRUE,TRUE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,8,0,[],[],Tena (Continence Care),22,Shop Our Continence Care Products Now! Best Price and Next Day Delivery Ireland. Order Online Today!,100,https://www.inhealth.ie/tena-continence-care/,Tena (Continence Care),Tena (Continence Care)
1118,970,Room Dividers & Configuration Gates,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,29,18,"[{""Banner Id"":259,""301 URLs"":[]}]","[{""Banner Id"":259,""404 URLs"":[]}]",Baby Room Dividers : Shop Configuration Gates and Baby Fence,60,Baby room dividers & configuration gates are a great solution to give your baby safe & out of danger in the home. Order today & get next day delivery in Ireland,160,https://www.inhealth.ie/room-dividers-configuration-gates/,Room Dividers & Configuration Gates,"Baby room divider, Configurable Baby Gate, Baby Fence, Baby Fence Play Area"
1120,1031,Magnetic Locks - Best Seller,FALSE,FALSE,FALSE,[],0,[],0,FALSE,FALSE,0,FALSE,FALSE,0,0,1,1,[],[],,0,,0,https://www.inhealth.ie/magnetic-locks-best-seller/,,
1121,1034,Feeding & Weaning,TRUE,TRUE,FALSE,[],0,[],0,TRUE,TRUE,1,FALSE,FALSE,0,0,92,62,"[{""Banner Id"":258,""301 URLs"":[]}]","[{""Banner Id"":258,""404 URLs"":[]}]",Baby Weaning Products: Find The Best Products For Your Baby,59,"Buy baby weaning products to make the weaning process as smooth as possible for you & baby. We stock top brands including Beaba, Dreambaby & Haakaa. Get fast-dispatch from our Irish-based warehouse!",198,https://www.inhealth.ie/feeding-weaning/,Feeding & Weaning,Feeding & Weaning
