ID,Name,Has Page Title,Has Meta Description,Has Content,Is Visible,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Meta Keywords,Search Keywords
1,RSS Syndication,FALSE,FALSE,FALSE,FALSE,,0,,0,/rss-syndication/,,
2,Shipping & Returns,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
3,Skincare,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
4,Make-up,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
5,Bath/Body,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
6,Nails,FALSE,FALSE,FALSE,FALSE,,0,,0,/nails/,,
7,Hair,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
8,FitFlop,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
9,Natural,FALSE,FALSE,FALSE,FALSE,,0,,0,/natural/,,
10,Mother/Baby,FALSE,FALSE,FALSE,FALSE,,0,,0,/mother-baby/,,
11,Men,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
12,Dermalogica,TRUE,TRUE,FALSE,TRUE,Dermalogica,11,Shop now for the complete Dermalogica range and enjoy our customer loyalty programme and next day delivery around Ireland,121,/dermalogica/,,
13,2012 Sale,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
14,Beauty Features - About Us,FALSE,FALSE,FALSE,FALSE,,0,,0,/about-us/,,
15,Contact BeautyFeatures.ie,TRUE,TRUE,FALSE,TRUE,Contact Us |  BeautyFeatures,28,Contact Us |  BeautyFeatures,28,/contact-us/,,
16,Delivery,TRUE,TRUE,FALSE,TRUE,Delivery & Returns from Beauty Features | Track Your Order,58,"Shipping. If for any reason you are not happy with your purchase, you may return any unopened and unused items to us within 14 days of receipt. To be acceptable for return, items should be unused, unopened and have any original seals intact.",241,/delivery/,,
17,Special Offers,TRUE,FALSE,TRUE,FALSE,Special Offers from www.BeautyFeatures.ie,41,,0,/special-offers/,,
18,Moisturisers,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
19,Cleansers,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
20,Toners & Exfoliators,FALSE,FALSE,FALSE,FALSE,,0,,0,,,
