Order ID,couponDetails,couponValue,systemValue
9130593,WWBF50922879MQT,5,5.0000
9130521,WWBF50UA5N6I,50,50.0000
9130520,WWBF50BHO3IN,50,50.0000
9130519,WWBF505VGM4S,50,50.0000
9130516,WWBF50ROGXYQ,50,50.0000
9130408,WWBF508HVFVR,50,50.0000
9130335,WWBF20PHU41B,20,20.0000
9129873,WWBF200921PTRES,20,20.0000
9129872,WWBF200921NZI68,20,20.0000
9129820,WWBF507D0N84,50,50.0000
9129761,WWBF50IGP796,50,50.0000
9129724,WWBF100922KU5D0,10,10.0000
9129645,WWBF50VZ3F85,50,50.0000
9129407,WWBF50B8F9H4,50,50.0000
9129404,WWBF509229W1LIM,5,5.0000
9128754,WWBF200921OW14O,20,20.0000
9128592,WWBF500921MTS4S,50,50.0000
9128187,WWBF20SGHNDZ,20,20.0000
9128052,WWBF2009215OREG,20,20.0000
9128042,WWBF508F6ST8,50,50.0000
9126529,WWBF507V5C4F,50,50.0000
9126517,WWBF505H27N2,50,50.0000
9126516,WWBF1087TRS0,10,10.0000
9126472,WWBF20XLYZIR,20,20.0000
9126434,WWBF505FPYWC,50,50.0000
9126088,WWBF50YHJRVI,50,50.0000
9126045,WWEX500P6VHVZ,50,50.0000
9126032,WWBF20WLH5DB,20,20.0000
9125966,WWBF50ZIOQZR,50,50.0000
9125947,WWBF50BR473B,50,50.0000
9125915,WWBF2052YYBM,20,20.0000
9125865,WWBF20IA7R8S,20,20.0000
9125805,WWBF50CXKDYR,50,50.0000
9125795,WWBF206GSATP,20,20.0000
9125743,WWBF505APD80,50,50.0000
9125689,WWBF50O3HRDT,50,50.0000
9125688,WWBF50F3G98U,50,50.0000
9125687,WWBF50UAZFV7,50,50.0000
9125685,WWBF50RURYS4,50,50.0000
9125561,WWBF50C5Y11D,50,50.0000
9125420,WWBF1094SDHW,10,10.0000
9125360,WWBF20ZGWNK1,20,20.0000
9125317,WWBF20L5S9QE,20,20.0000
9125309,WWBF20GKU4GP,20,20.0000
9125295,WWBF50OXZBB1,50,50.0000
9125268,WWBF207S053D,20,20.0000
9125261,WWBF506H0C6E,50,50.0000
9125252,WWBF50JG1NSD,50,50.0000
