type,url,sku
brand,https://dogspace.ie/dogspace/,
brand,https://dogspace.ie/babydan/,
brand,https://dogspace.ie/dreambaby/,
brand,https://dogspace.ie/scandinavian-pet-design/,
brand,https://dogspace.ie/safetots/,
brand,https://dogspace.ie/kidkusion/,
brand,https://dogspace.ie/fred/,
brand,https://dogspace.ie/bettacare/,
category,https://dogspace.ie/pressure-fit-gates/,
category,https://dogspace.ie/screw-fit-gates/,
category,https://dogspace.ie/retractable-gates/,
category,https://dogspace.ie/dog-pens-room-dividers/,
category,https://dogspace.ie/wooden-pet-gates/,
category,https://dogspace.ie/no-trip-pet-gates/,
category,https://dogspace.ie/extra-tall-pet-gates/,
category,https://dogspace.ie/extensions-accessories/,
category,https://dogspace.ie/shop/,
category,https://dogspace.ie/about/,
page,https://dogspace.ie/blog/,
page,https://dogspace.ie/contact-us/,
page,https://dogspace.ie/delivery/,
page,https://dogspace.ie/click-collect-bray/,
page,https://dogspace.ie/about-us/,
page,https://dogspace.ie/returns-policy/,
blog,https://dogspace.ie/your-first-blog-post/,
product,https://dogspace.ie/dogspace-bonnie-extra-tall-pressure-fitted-dog-gate-black-73-5-79-6cm/,11118
product,https://dogspace.ie/dogspace-bonnie-extra-tall-pressure-fitted-dog-gate-white-73-5-79-6cm/,11119
product,https://dogspace.ie/dogspace-extension-for-bonnie-extra-tall-extension-black-2x7cm/,11120
product,https://dogspace.ie/dogspace-extension-for-bonnie-extra-tall-extension-white-2x7cm/,11121
product,https://dogspace.ie/dogspace-charlie-extra-tall-extending-dog-gate-black-63-5-107cm/,11122
product,https://dogspace.ie/dogspace-charlie-extra-tall-extending-dog-gate-white-63-5-107cm/,11123
product,https://dogspace.ie/dogspace-molly-flexible-dog-gate-black-67-105-5cm/,11124
product,https://dogspace.ie/dogspace-lucky-extending-dog-gate-black-62-5-106cm/,11125
product,https://dogspace.ie/dogspace-lassie-pressure-fitted-dog-gate-black-73-5-79-6cm/,11126
product,https://dogspace.ie/dogspace-extension-for-lassie-pressure-fitted-dog-gate-black-2x7cm/,11127
product,https://dogspace.ie/dogspace-max-m-multi-expandable-dog-gate-black-90-146cm/,11128
product,https://dogspace.ie/dogspace-max-l-multi-expandable-dog-gate-black-90-223cm/,11129
product,https://dogspace.ie/dogspace-max-multi-expandable-dog-room-divider-pet-pen-black-90-350cm/,11130
product,https://dogspace.ie/dogspace-max-multi-expandable-dog-pen-rectangle-with-gate-black-70x102cm/,11131
product,https://dogspace.ie/dogspace-extension-for-max-black-33cm/,11132
product,https://dogspace.ie/dogspace-extension-for-max-black-72cm/,11133
product,https://dogspace.ie/dogspace-rocky-l-extra-tall-multi-expandable-pet-gate-black-90-221cm/,11134
product,https://dogspace.ie/dogspace-rocky-l-extra-tall-multi-expandable-dog-gate-white-90-221cm/,11135
product,https://dogspace.ie/dogspace-gate-section-for-rocky-extra-tall-black-71-3cm/,11136
product,https://dogspace.ie/dogspace-gate-section-for-rocky-extra-tall-white-71-3cm/,11137
product,https://dogspace.ie/dogspace-extension-for-rocky-extra-tall-black-71cm/,11138
product,https://dogspace.ie/dogspace-extension-for-rocky-extra-tall-white-71cm/,11139
product,https://dogspace.ie/babydan-premier-true-pressure-fit-safety-gate-black-73-5-79-6cm/,41118
product,https://dogspace.ie/babydan-flexi-fit-wooden-stair-gate-69-106-5cm/,40747
product,https://dogspace.ie/babydan-y-spindel-2-pack-allowing-pressure-gates-to-be-fitted-onto-stairs/,40762
product,https://dogspace.ie/babydan-configure-flex-gate-medium-black-90-146-cm/,100665
