ID,Name,Has Page Title,Has Meta Description,Has Content,Is Visible,Page Title,Page Title Length,Meta Description,Meta Description Length,URL,Meta Keywords,Search Keywords
1,RSS Syndication,FALSE,FALSE,FALSE,FALSE,,0,,0,/rss-syndication/,,0
2,Delivery - Ireland & Europe,TRUE,TRUE,FALSE,TRUE,Shipping & Returns │ HaakaaOfficial.co.uk,41,Check out our Shipping & Returns page for full details about where and how much we charge for shipping and how to avail of our Free Shipping offer,146,/shipping/,,
3,Blog,TRUE,TRUE,FALSE,TRUE,Blog,4,"Welcome to our blog. Here we share our knowledge, opinions, news and general tips and tricks.",93,/blog/,,0
4,Contact Haakaa,TRUE,TRUE,FALSE,TRUE,Contact Haakaa │ HaakaaOfficial.co.uk,37,"Contact our team today at HaakaaOfficial.co.uk for support or guidance, our team are fully trained and are happy to assist",122,/contact-haakaa/,,
5,Store Locator,TRUE,TRUE,FALSE,TRUE,Store Locator │ HaakaaOfficial.co.uk,36,Check out the retailers that support Haakaa throughout the UK and Ireland,73,/store-locator/,,
6,Become  A Retailer,TRUE,TRUE,FALSE,TRUE,Become a Retailer today │ HaakaaOfficial.co.uk,46,Become a Retailer today with the amazing Haakaa. We are the autorizes distributor for the UK and Ireland,104,/become-a-retailer/,,
7,About Us,TRUE,TRUE,FALSE,TRUE,About us │ HaakaaOfficial.co.uk,31,"Learn all about the creation and trade marked brand Haakaa, serving the UK & Ireland we are ready to take over the world",120,/about-us/,,
8,FAQ,TRUE,TRUE,FALSE,TRUE,FAQ │ HaakaaOfficial.co.uk,26,FAQ │ HaakaaOfficial.co.uk - Keep on eye on our page for newly added content,76,/faq/,,
9,Payment Methods,TRUE,TRUE,FALSE,FALSE,Payment Methods │ HaakaaOfficial.co.uk,38,Check out all our payment options at HaakaaOfficial.co.uk,57,/payment-methods/,,
11,Privacy Policy,TRUE,TRUE,FALSE,FALSE,Privacy Policy │ HaakaaOfficial.co.uk,37,Read through our Privacy Policy please contact us today with any queries │ HaakaaOfficial.co.uk,95,/privacy-policy/,,
12,Become a Distributor,TRUE,TRUE,FALSE,FALSE,Become a Distributor │ HaakaaOfficial.co.uk,43,"Become a Distributor of the magnificent Haakaa, supported throughout the world this global sensation is a powerhouse brand for women throughtout the world",154,/become-a-distributor/,,
13,Terms & Conditions,TRUE,TRUE,FALSE,TRUE,Terms & Conditions,18,Haakaaofficial.co.uk Terms & Conditions - Visit our page for full details,73,/terms-conditions/,,
14,Cookies,TRUE,TRUE,FALSE,TRUE,Cookie Policy │ HaakaaOfficial.co.uk,36,Read our Cookie Policy now at HaakaaOfficial.co.uk,50,/cookies/,,
15,Influencer & Marketing,TRUE,TRUE,FALSE,TRUE,Haakaa Influencer & Marketing Opportunities,43,Haakaa Influencer & Marketing Opportunities UK and Ireland - Contact us today,77,/influencer-marketing-opportunities/,,
17,Returns Policy,TRUE,TRUE,FALSE,TRUE,Returns Policy : Read About Haakaa UK's Returns Policy,54,We will accept goods returned within 14 days from date of delivery so long as they are returned in an unused new condition with the original packaging.,151,/returns-policy/,,
