coupon,revenue
KATIE,1548.8799999999999
SOPHIE,229.78
3OFF51c5ff473c28,77.59
25OFF86011f99bc70,156.48
RUTH,10587.049999999992
3OFFe0c5b23b7991,76.98
3OFF0d40c8fa86d0,25.7
WWBF50QQZ5N6,61.2
LAURAMUA,1197.71
GRACE,157.20000000000002
VIP,3241.4900000000002
10OFFa517f9478ea7,39.1
GRACEY,2515.67
10OFF7dfbe1a2c02f,14.25
WWBF10T2JEGN,79.2
10OFF5426fb52900d,48.8
€3 OFF650847c3a7a4,79.2
25OFFe4af5e4f418c,39.6
BFS10,1432.7800000000002
10OFF914f062dc8ec,123.98
KARLA,244.88
10OFF52004ef8368e,33.98
10OFF8ba7842a7491,42.75
3OFF0fa8914169c2,27.75
THANKYOU,2843.239999999999
LORD10,270.64
3OFFe1664b8d785d,246.34000000000003
3OFF91f8357166e2,17.1
10OFFb48f0c50201a,74.77
3OFF884f9f5f0e86,58.45
3OFF71fd2831ec10,101.2
ENERGIA,229.45999999999998
10OFFc95ab8727763,63.98
3OFF342fd2898430,23
10OFFb1eae032cbc9,83.13
3OFF2baf01024a50,39.99
25OFFbd6c521fe8ef,97.5
25OFF6e7366229e54,97.98
10OFFb5366ef7b727,90.21
10OFF9cce072213f8,199.15
WWBF20UI7B6U,28.5
25OFFc4c340e331f1,87.98
10OFF62576bd02467,22
10OFF20ac70325fe5,93.98
25OFFa54a97b9e007,59.5
25OFFaa447802c57a,96.75
3OFFa3e4b96e507c,57.99
25OFFc8de01667818,673.73
25OFFf30b67b94498,92
WWBF50HFQXIL,51.99
WWBF50E6GJQ0,45.99
WWBF50TJ9O6T,52
WWBF509A7R27,53.31
WWBF50G75KEJ,77.99
10OFF866ffb33395a,23
10OFF22af6466970d,63.19
WWBF50OSSYYV,50
25OFF012ca1e230a5,54.97
WWBF506AIG2M,49.4
WWBF50F4T8O4,52.86
WWBF50MNQ6SS,59
WWBF508NIADQ,51.34
WWBF506REAI8,55
WWBF50KJG1BY,51
3OFFd87e65f9e209,47.56
10OFFbdb771267420,32.25
25OFFec20552db213,206.1
25OFFc1408a7d33a0,81.97
SUSAN,166.55
10OFFd050ec94f96b,52.73
25OFFce5460500776,132.5
WWBF50T2S4DG,59
WWBF50V9GN1W,50.39
WWBF50GXFBZB,49.96
3OFF663e2e137e15,34.89
WWBF5017SJP9,59.26
WWBF50FZEBAO,49.55
3OFF4433dd2b210e,21.15
WWBF20FVXMG9,18.5
3OFFe72d30ffe570,39.99
WWBF50J5PKS2,66.35
10OFFf5497dfb2b0d,108.95
WWBF505FOQ34,72
WWBF50NIESE1,52
LISA,35.99
WWBF50ED5G1S,99.98
WWBF501QQRF3,49.99
WWBF50TSY537,62.43
WWBF502I2KE3,56.24
WWBF50TTAU34,100
3OFF700a4590043a,32.5
25OFFf66f1855552d,99
REBECCA,2240.82
10OFF4fc787ee0fed,75.99
LAURA,236.89000000000001
RTM10,841.22
10OFF3636f89ad3be,57
10OFF72312c43d5fd,48.7
10OFF967f956f5c7b,23.9
10OFF2ac1e5545605,27.5
10OFF931189319b18,27.46
SALLYBF,33.99
3OFF4410edcf49c3,59.98
25OFF5103ca66d4de,33.9
25OFFff6c911b6738,117.98
10OFF4689d652a499,38.25
10OFFab7cbe7c7206,22
WWBF50BQ322R,50.91
10OFF88ede70a2a77,57.49
WWBF50W2J031,134.08
WWBF506MGWN5,74.08
WWBF5014LWQG,55
3OFF1b363baf7b2e,12.92
WWBF50574SU5,66.99
WWBF505Q9BH6,110
WWBF20N0EF5M,114.6
WWBF50BY1YDS,65.94
3OFF8d53db836fd1,97
10OFF6d5b8678c4da,97.49
WWBF50O9EKX8,51.85
10OFFfbc68272674e,142.38
LORRAINE,214.9
10OFF7ea27764097b,30.3
10OFF32ff798bf155,76.05
3OFF1e195787514c,128.54
10OFFe0ca215efba3,17.14
WWBF1051067R,9.61
10OFF19c09591f619,87.79
25OFF421a2998adcb,242.08
€3 OFF441ead3492c8,46.75
WWBF10L5FBBW,12.99
LIDL,115.75
WWBF50P7PCII,62.87
WWBF5081WU0V,62.9
WWBF50D2C3PK,49.73
WWBF20CKVTN7,159.98
WWBF200JUY4S,80.55000000000001
CHARLEEN,81.2
WWBF50G4OCSP,60.71
25OFFa0103571a99b,27.5
WWBF50FDVOHF,151.44
3OFFe1002f12fb65,30.4
10OFF67475f97bb7c,25.7
WWBF501MPNE4,54.32
10OFF92a4267d461b,75.49
25OFF96075b032cc5,92.99
WWBF501XHDLU,51.65
WWBF5023N7AA,56.94
WWBF509OMZBH,156.78
WWBF50BTHE23,106.56
25OFFc69de148170f,319.82
WWBF50CHHN15,46
WWBF50N2JW8X,48.7
WW50EWEQFDS,59.39
€25 OFFe31a0df15ef8,44.2
WWBF20DHZ0TR,44
3OFFaed32e3f4d63,32.15
10OFFde027c06fec7,27.5
WWBF50AG3V6F,133.88
3OFF8617851d55c1,14.25
3OFF5a67126e3714,32.5
WWBF508A71Z1,56.4
25OFF15f70ef59c71,72.25
WWBF50VCTKMS,62.35
10OFF7826074e61dd,103.56
WWBF5077NOKB,51.9
25OFF05cfa682f08e,77.98
3OFF507c9fa1291e,68.34
3OFF2282eefc01f9,105.98
WWBF10T8N8VB,22
10OFF5ba4b5d068a8,71
10OFF2745c21591a0,28.5
25OFFb280432fa301,54.99
3OFF18dc0da25853,50
WWBF50MFKAGB,54.99
WWBF50GVMKXH,165
3OFFdfbf6b98d952,30.9
10OFFe7fc39a1b356,51.74
10OFF5bd501cf5d04,22.1
WWBF50HI9ZV6,51.29
10OFF32123665a4b8,77.5
3OFF53f1225648c1,90.25
25OFFc6b0b8bb99db,63.9
LEAHK,28.5
10OFF8a9dcfa46438,11.77
WWBF50CQHIJD,53.75
10OFF541c0fb76e0c,91.6
10OFF3a3340c54ac5,27.5
10OFFad9f306f7960,118.98
WWBF50T98FPW,105.8
10OFFa709d36daebe,100
3OFFc3ed2ad09f80,27.5
WWBF10H7T888,51
3OFF18dbf0c04aad,87.39
25OFFf9503968ef0b,37.4
3OFFaa460d010253,44.49
3OFF340145928f8d,28.5
25OFF09bc93f16fe6,50.6
10OFFcf39cedbd181,55
3OFFe31412e08000,25.7
WWBF50G7Z0BP,59.02
3OFF29217c5318c8,53
10OFF9c4bf1534c80,57
3OFF96f1a9799b4e,127.97
10OFFfa7e6ab3ff7f,69.15
10OFF6017ee9463d1,106.5
WWBF505E0Q4P,54.5
25OFF31b4ec070034,105.98
XMAS10,9228.339999999991
WWBF505S8MVR,56.01
3OFF65fea54fe538,27.5
