Product ID,Product Name,Product Description,Product URL,Product Image URL,Product Price,Currency,Spec UPC,Spec SKU,Spec Brand,Spec MPN,Spec ISBN,Spec EAN,Product Tags,Blacklisted,Product Group
39,Carin Finishing Cream 100ml,"Who is it for?

All hair types

Introduction

A hugely successful product in Ireland for the last twenty years, Carin Beeswax
Finishing Cream is suitable for adding the final touch to both men and women’s
hairstyles. This beeswax-based product is a great multitasker: you can use it
for smoothing, polishing, defining curls, tame frizz and flyaway hair. The
natural beeswax in Carin Finishing Cream creates a protective film around the
hair, leaving it soft without being greasy – and a little goes a long way, so
it’s also economical!

 * Multitasking product: use it for smoothing, defining curls, tame frizz and
   flyaways
 * Suitable for both men and women
 * Contains natural beeswax and mineral oils for healthy, shiny hair
 * Leaves hair soft without greasiness
 * Economical: a little goes a long way

Directions for use

 * Apply to wet or dry hair in very small amounts
 * Massage into hands and distribute through the hair as desired

BeautyFeatures Style Guide:

 * Add a touch of Carin Beeswax Finishing Cream to the ends of you hair to both
   repair and prevent split ends!

Key Information:

Contains natural Beeswax",https://www.beautyfeatures.ie/carin-finishing-cream-100ml/,https://cdn11.bigcommerce.com/s-63354/products/39/images/4989/Carin-Finishing-Cream-100ml__94730.1495719751.220.220.jpg?c=2,7.95,EUR,5420010801131,CAR_CAFC,Carin,,5420010801131,5420010801131,,FALSE,
91,Burt's Bees - Honey Lip Balm,"Who is it for?

Dry lips, lip care

Introduction

From those who brought you the classic beeswax balm, this natural lip balm is
made with sweet, soothing honey, which is a natural moisturiser to soften and
sooth dry cracked lips.

 * 100% natural
 * Includes Vitamin E which helps nourish lips
 * No Parabens, Phthalates, Petrolatum or SLS

How to use:

 * Apply to your lips as often as needed, particularly in dry, cold or windy
   conditions

BeautyFeatures Style Guide:

 * Want a hint of colour with your lip balm? Go for Burt’s Bees Tinted Lip Balm
   [%%GLOBAL_ShopPathSSL%%/burts-bees-tinted-lip-balm-rose/] instead!",https://www.beautyfeatures.ie/burts-bees-honey-lip-balm/,https://cdn11.bigcommerce.com/s-63354/products/91/images/142/burts-bees-honey-lip-balm-4.25g-7215-p__68443.1329323480.220.220.jpg?c=2,3.95,EUR,792850148000,40867,Burts Bees,,792850148000,792850148000,,FALSE,
157,Decleor Aromessence - White Magnolia 15ml,"Who's it For?

Mature skin

Introduction

This anti-ageing oil serum is a youthful concentrate of energy for the skin,
made from 100% natural origin ingredients.

 * Skin looks plumper and firmed, with a fresh and luminous glow
 * Formulated with essential oils of Magnolia and Ginger and botanical oils of
   Hazelnut and Jojoba
 * Lifts and firms, reduces the appearance of fine lines
 * The skin is smoothed and plumped up, deliciously nourished, evenly toned and
   protected

How to use:

 * Morning and night, apply 2 drops of Aromessence massaging gently over the
   entire face, pressing in with fingertips and finishing with light sweeping
   strokes.

BeautyFeatures Style Guide:

 * To give your make-up an extra glow, add a drop into your foundation for the
   natural, glowing look.

More Info:


 * Made from 99% natural origin ingredients
 * Sulphate Free",https://www.beautyfeatures.ie/decleor-aromessence-white-magnolia-15ml/,https://cdn11.bigcommerce.com/s-63354/products/157/images/8167/Declor_Aromessence_-_White_Magnolia_15ml__83581.1601557254.220.220.jpg?c=2,74.99,EUR,3395019917645,100025,Decleor,,3395019917645,3395019917645,,FALSE,
166,Decleor Aromessence Lavande Fine Oil Serum 15ml,"Who is it for?

Mature skin

Introduction

100% naturally-derived serum composed of essential oils to help to firm mature
skin. 

 * Works in perfect harmony with the skin to reduce lines and wrinkles, redefine
   facial contours and boost cell renewal
 * Hydrating and nourishing, delivers a natural glow
 * Aromessence with Lavender - Lavandula Angustifolia - and Everlasting -
   Helichrysum Italicum, helps uplift your mind
 * Restful floral aroma and a delicate silky texture, rapidly absorbed

How to Use:

 * Warm 3 drops of serum in the palms of your hands
 * Take a moment to inhale the Aromessence aroma
 * Apply on cleansed skin, gently tapping over the face and neck in a ‘figure of
   3’ movement
 * Use before your moisturiser [%%GLOBAL_ShopPathSSL%%/moisturisers/]

BeautyFeatures Style Guide:

 * To give your make-up look an extra glow, mix a drop of this serum into your
   usual foundation!

More Info:

 * Sulphate Free",https://www.beautyfeatures.ie/decleor-aromessence-lavande-fine-oil-serum-15ml/,https://cdn11.bigcommerce.com/s-63354/products/166/images/8439/Decleor_-_Aromessence_Lavande_Fine__94032.1607072871.220.220.jpg?c=2,56.99,EUR,3395019917409,100027,Decleor,,3395019917409,3395019917409,,FALSE,
174,Decleor Aromessence Neroli Bigarade,"Who is it for?

All Skin Types

Introduction 

This 100% natural face oil serum delivers a hit of hydration and boost of
radiance while soothing the senses. Using only the highest grade Essential Oils
and cold pressed Botanical Oils, the result is a fine, silky, non-sticky texture
that is easy to apply. 

 * Hydrating botanical oil serum, packed with all the goodness of six essential
   oils (Néroli, Petitgrain, Juniper Berry, Sandalwood, Clary Sage and Sweet
   Orange)
 * Triple efficiency of the bitter orange tree: Aromessence Neroli Amara uses
   essential oils from the flower, fruit, leaves and twigs
 * With Hazelnut Virgin Botanical Oil

How to use:

 * Warm 3 drops in to your hands
 * Breathe in the power of the pure, 1st grade essential oils to reconnect with
   yourself
 * Apply the Aromessence by gently tapping over your face and neck in ‘figure of
   3' movements
 * Follow with your chosen moisturiser [%%GLOBAL_ShopPathSSL%%/moisturisers/]

BeautyFeatures Style Guide:

 * We recommend using this serum both in the morning and at night
 * In the morning, quick and fast digitopressure for four or five seconds
   stimulates and revives the epidermis
 * In the evening, soft and slow digitopressure creates a deeply relaxing
   effect, enhancing the properties of this serum.

More Info:

 * Sulphate Free
 * 100% natural origin
 * Professional formulation
 * Free from mineral oils
 * Free from colourants

 ",https://www.beautyfeatures.ie/decleor-aromessence-neroli-bigarade/,https://cdn11.bigcommerce.com/s-63354/products/174/images/8438/Decleor_-_Aromessence_Neroli_Bigarade__28551.1607072140.220.220.jpg?c=2,53.99,EUR,3395019917324,100031,Decleor,,3395019917324,3395019917324,,FALSE,
175,Decleor Aromessence Rose D'Orient Soothing comfort Oil Serum 15ml,"Who's it For?

Sensitized skin

Introduction

This 100% natural serum is designed to instantly soothe, calm and soften skin.

 * Combines powerful essential oils such as rose, chamomile & geranium to
   soothe, even and stabilise your skin all day long
 * Non-greasy and non-sticky texture, rapidly absorbed
 * It takes 1500 rose petals to make each bottle of Aromessence Rose D'Orient!
 * Relieves irritation

How to use:

 * Use morning and night
 * Apply 2 drops of Serum using the Decléor acupressure method over the entire
   face, pressing in with fingertips
 * Finish with light sweeping strokes

BeautyFeatures Style Guide:

 * For an all-natural, glowing look add a drop of Serum into your foundation!
   

More Info:

 * 100% natural
 * Organic
 * Vegan
 * Made in France",https://www.beautyfeatures.ie/decleor-aromessence-rose-dorient-soothing-comfort-oil-serum-15ml/,https://cdn11.bigcommerce.com/s-63354/products/175/images/7094/Decleor_-_Aromessence_Rose_DOrient_Soothing_comfort_Oil_Serum_-_15ml__73949.1567606450.220.220.jpg?c=2,45.99,EUR,3395019899101,42976,Decleor,,3395019899101,3395019899101,,FALSE,
181,Decleor Day Cream and Mask - Rose Damascena 50ml,"Who is it For?

Sensitive skin

Introduction

Combines powerful organic ingredients such as Rose essential oil, sweet almond
plant oils and Centella Asiatica extract to soothe, even out skin tone and
stabilise skin all day long.

 * Fresh & non-sticky texture, rapidly absorbed
 * Soothes: 85% of women felt their skin tightness reduced*
 * Evens: 79% of women noticed their skin redness seems less visible* 
 * Stabilizes: 73% of women felt their skin was less reactive*

*Test under clinical control on 54 subjects with normal and dry skin for 28 days

How to use: 

 * As a Cream: Apply in the morning to a cleansed face and neck, after the
   Aromessence Rose D’Orient Organic serum
   [%%GLOBAL_ShopPathSSL%%/decleor-aromessence-rose-dorient-soothing-comfort-oil-serum-15ml/]
   
 * As a Mask: apply a thicker layer than normal once a week and leave on for 5
   minutes. Allow the product to completely absorb, do not rinse off. Avoid eye
   and lips contour.

BeautyFeatures Style Guide:

 * This handy 2-in-1 product is perfect to take away on holidays with you!

More Info:

 * Organic
 * Clinically tested under dermatological control
 * Allergy-tested
 * Made in France
 * Approved by professional beauty therapists
 * Sulfate-free
 * Paraben-free",https://www.beautyfeatures.ie/decleor-day-cream-and-mask-rose-damascena-50ml/,https://cdn11.bigcommerce.com/s-63354/products/181/images/7547/Declor_Day_Cream_and_Mask_-_Rose_Damascena_50ml__82267.1591260235.220.220.jpg?c=2,49.99,EUR,3395019899460,100034,Decleor,,3395019899460,3395019899460,,FALSE,
195,Kerastase Nutritive Masquintense Epais 200ml,"KÉRASTASE MASQUINTENSE ÉPAIS (200ML)

 

 

Treat – Smoothing & Conditioning for Thick Very Dry & Sensitised Hair

 

Discover the luxury ensemble that is the Kerastase Hair Care collection.
Launched in France in 1964, Kerastase was born from the world renowned La
Recherché Avancee L’Oreal, a prestigious research institute, delivering unique,
avantgarde formulas enriched with innovation and aspiration.

 

Experience the replenishing action of the award winning Nutritive Range from the
world revered Kerastase Paris. Kerastase Masqueintense Epais specifically
formulated to smooth, condition and protect thick extremely parched, sensitised
hair. Guarding against humidity, it deeply replenishes and eases the detangling
process. Bath your scalp and hair in relaxation and nourishment. Hair is left
deeply moisturised and luminous as scalp is rebalanced and beautifully
rejuvenated!

 

Cleverly created to nourish all  levels of dry and sensitised hair, the
customised  Nutritive programme will relax the most rebellious and frizzy of
hair whilst defining and enhancing the most wayward of natural curl. Infused
with Palm and Shorea Oils that feed the thirsting tress to Silicone derivatives
that aid weightlessness and create beautifully smooth and luminous hair!

 

Directions for use

 

Bathe hair twice with Bain Satin 3, towel dry. Apply Masque. Massage gently for
5 minutes. Rinse thoroughly with warm water.

 

KERASTASE KEY TECHNOLOGIES

 

GlucoActive Dosage 3:

 

 * GlucoActive dosage 1100 ppm.
 * Glucose to nourish the hair.
 * Proteins to smooth and detangle.
 * Lipids to protect the hair from the dryingout process.

 

 ",https://www.beautyfeatures.ie/kerastase-nutritive-masquintense-epais-200ml/,https://cdn11.bigcommerce.com/s-63354/products/195/images/8467/Kerastase_Nutritive_Masquintense_Epais_200ml__66879.1607084150.220.220.jpg?c=2,40.99,EUR,3474636382712,KER_44015370,Kerastase,,3474636382712,3474636382712,,FALSE,
202,Kerastase Nutritive Lait Vital 200ml,"Who is it for?

Dry & Sensitised Hair

Introduction

A brilliant revitalising conditioning treatment for sensitised, dry hair. It
will leave hair dripping with softness, luminosity and shine!

 * Addresses over-styling and environmental damage that can parch the hair
   fibre. Hair is left deeply nourished and full of life
 * Smoothes the most rebellious and frizzy of hair whilst defining and enhancing
   natural curls
 * Infused with Palm and Shorea Oils
 * Silicone derivatives aid weightlessness and create beautifully smooth and
   luminous hair
 * With Glucose to nourish the hair, Proteins to smooth and detangle and Lipids
   to protect the hair from drying out

 How to Use:

 * Apply to wet hair
 * Massage gently into scalp and hair
 * Rinse thoroughly and repeat application
 * Leave for 3– 5 minutes for optimal results
 * Rinse thoroughly.

 BeautyFeatures Style Guide:

 * Team with Kerastase Nutritive Bain Satin
   [%%GLOBAL_ShopPathSSL%%/kerastase-nutritive-bain-satin-2-250ml/] for best
   results",https://www.beautyfeatures.ie/kerastase-nutritive-lait-vital-200ml/,https://cdn11.bigcommerce.com/s-63354/products/202/images/5183/Kerastase-Nutritive-Lait-Vital-200ml__18386.1496143125.220.220.jpg?c=2,26.99,EUR,3474636382699,KER_4401984,Kerastase,,3474636382699,3474636382699,,FALSE,
203,Kerastase Resistance Ciment Thermique 150ml,"Who is it for?

Weak, Damaged Hair

Introduction

A restorative, thermo-activated milk treatment from the award-winning Kerastase
Revitalise range, created to revitalise and replenish.

 * Reinforces and rejuvenates weakened, damaged hair
 * Luscious formula strengthens the hair fibre root to tip
 * Hair is fortified, vitality and body are restored
 * Infused with Kerastase-patented technology to aid in the prevention of
   breakage and split ends
 * Complexe VitaCiment strengthens the hair from within, replicating the hair
   structure
 * Topseal resurfaces the cuticle and lockin the VitaCiment

How to Use:

 * Apply to towel dried hair
 * Do not rinse out
 * For optimal results, style with heat device

 BeautyFeatures Style Guide:

 * For best results, team with Kerastase Bain de Force Architecte
   [%%GLOBAL_ShopPathSSL%%/kerastase-bain-de-force-architecte-250ml/]",https://www.beautyfeatures.ie/kerastase-resistance-ciment-thermique-150ml/,https://cdn11.bigcommerce.com/s-63354/products/203/images/5182/Kerastase-Resistance-Ciment-Thermique-150ml__72166.1496142860.220.220.jpg?c=2,25.9,EUR,3474630652439,KER_4402020,Kerastase,,3474630652439,3474630652439,,FALSE,
