Product ID,Product Name,Product Description,Product URL,Product Image URL,Product Price,Currency,Spec UPC,Spec SKU,Spec Brand,Spec MPN,Spec ISBN,Spec EAN,Product Tags,Blacklisted,Product Group
77,Pre-Conceive Fertility Supplement,"PRE- CONCEIVE – PILLAR HEALTH X 30 SACHETS

 

Comprehensive Nutritional Support for Women Looking for Healthy Conception and a
Happy Pregnancy.

 

Discover Pre-Conceive, an innovative blend of nutrients specifically combined to
increase and enhance fertility levels in both men and women who are considering
having children. A forward thinking nutritional supplement that delivers
therapeutic doses of amino acids, vitamins, minerals and other fertility
supporting nutrients that work to improve egg and sperm quality and offer full
system support. Each serving features 30 doses of fertility enhancing nutrients
which have been extensively researched to ensure effectiveness and performance.

A unique, unisex formula, that features specific nutrients selected via
independent research championing their effects on fertility markers, for both
men and women. Pre-Conceives ground breaking formula has also shown great
benefit for the developing embryo and the mother post pregnancy.

Pre-conceive is an accessible, uniquely innovative approach to addressing the
very real concern of infertility and has been developed in response to this
emotional and physical need with this marketing leading therapeutic and
nutritional supplement. Improve fertility; improve conception levels with
Pre-Conceive by Pillar Health. 

 * A multi-functional nutritional supplement that ensures the delivery of key
   nutrients to the important reproductive areas.
 * For men, it works to benefit sperm count, concentration levels, motility,
   blood flow, hormonal patterns, DNA health and the regulation of testosterone.
 * For women, Pre-Conceive works to regulate hormones improve egg quality;
   improve uterine and cervical health as well as fallopian and thyroid health.
   It may also benefit women by helping to tackle ovulation disorders.
 * A nutritional supplement for improving fertility and conception levels in
   both men and women.
 * Pre-Conceive is the most therapeutic product on the market today.
 * Specially chosen and well researched nutrients aid and improve energy
   production for the cells including the egg and sperm
 * Features a full spectrum of protective antioxidants and building blocks for
   the body to create main antioxidant enzymes.
 * Nutrients in Pre-Conceive improve cell development, replication and protect
   vital DNA.
 * Pre-Conceive is manufactured in a specialist facility here in Ireland.
 * A truly Irish supplement with full traceability on all ingredients.
 * Pre-Conceive is fully endorsed and supported and backed by ReproMed Ireland,
   Ireland’s leading fertility clinic.
 * Pillar Health who create Pre-Conceive are proud to announce a recent
   collaboration between themselves and Dr.David Smallbone, a leading expert in
   the fertility world.

 

How to use:

 * Recommended usage – dissolve sachet into at least 100ml of water, making sure
   all of the powder is consumed. (There may be some powder in the bottom of the
   glass because some nutrients never dissolve well i.e. Iron).
 * You can mix the sachet with juices but this is not advised as it may
   interfere with the nutrient absorption.
 * We do not recommend adding powder to food as a lot of the powder will be left
   behind in the bowl or plate.
 * The Omega 3 capsules can be taken altogether and we recommend taking these in
   the evening.
 * We recommend that pre-Conceive is stored at room temperature and not exposed
   to extremes of temperature at any time. The fish oil capsules should be
   stored below 25C or kept in the fridge. Neither the sachets nor the capsules
   should be left in direct sunlight

 

Ingredients: 

There are over 31 active nutrients in each satchet. A typical daily serving
provides 5000mg of Arginine, 3000mg of Omega 3, 400mg of Vitamin E, Zinc and
Selenium, 1200mg of NAC and 400 IU of folic acid.

 

pre-conceive-fertility-supplement-study.jpg
[http://cdn8.bigcommerce.com/s-c7kc4/product_images/uploaded_images/pre-conceive-fertility-supplement-study.jpg] pre-conceive-fertility-supplement-note.jpg
[http://cdn8.bigcommerce.com/s-c7kc4/product_images/uploaded_images/pre-conceive-fertility-supplement-note.jpg]

 

results-are-in-2.jpg
[http://cdn8.bigcommerce.com/s-c7kc4/product_images/uploaded_images/results-are-in-2.jpg]

",https://www.fertilitystore.ie/pre-conceive-fertility-supplement/,https://cdn11.bigcommerce.com/s-c7kc4/products/77/images/355/PRE-CONCEIVE-FERTILITY-SUPPLEMENT__30392.1464693548.386.513.jpg?c=2,152.99,EUR,680569855985,100420,,,680569855985,680569855985,,,
78,NHP Advanced Fertility Support For Women (60 Caps),"NHP ADVANCED FERTILITY SUPPORT FOR WOMEN (60 CAPS)

NEW Advanced Fertility Support for Women has now been reformulated in
association with Dr. Marilyn Glenville PhD to contain methylfolate instead of
folic acid to optimise absorption. This is so important for all women to help
optimise fertility and especially for those who have a genetic variant that
blocks the conversion of folic acid to methylfolate. This NEW formula contains
the most effective amounts of bio-available nutrients which are scientifically
proven to help optimise fertility, egg quality and promote conception. 

It is important that you and your partner are in prime health in order to
conceive and to maintain a healthy pregnancy. By increasing your nutrient intake
and addressing any nutrient deficiencies, this helps improve egg quality and
improves your chances of getting pregnant. NHP and Dr Marilyn Glenville have
designed this supplement to contain all of the key nutrients to help increase
fertility in one capsule. If you are finding it difficult to conceive or simply
want to prepare and give yourself the best start for pregnancy then 'Fertility
Support for Women' is the ideal choice of supplement

Advanced Fertility Support includes the following changes:

 * L-Arginine - a nutrient that places a key roll in fertility health for both
   men and women, by helping to balance hormones, helping to improve circulation
   and is important for egg and sperm health.
 * Folic Acid is now in the form of Methylfolate making it more bioavailable and
   more efficiently absorbed
 * Vitamin D3 has been increased from 2mcg to 10mcg - Vitamin D3 plays a key
   roll in fertility as it's vital for hormone function and production

 

Ingredients:

2 capsules per day provides the following amounts

nhp-advanced-fertility-support-for-women-ingredients.jpg
[https://www.pregnancyandbaby.ie/product_images/uploaded_images/nhp-advanced-fertility-support-for-women-ingredients.jpg]

Free From: 

 * Artificial Flavours, Colours & Preservatives, 
 * Dairy, Gluten, Yeast  

Why have these ingredients been chosen? 

All of the nutrients contained in the supplement are important for fertility
such as: 

 * Zinc is an extremely important nutrient for fertility. It is vital for cell
   growth, DNA, formation of bones and fetal development
 * Vitamin C is an antioxidant which is important for ovulation and for egg
   health.
 * Folic acid is essential for healthy fetal development, it is also required to
   help support normal cell division, formation of blood and of red and white
   blood cells and for healthy tissue growth. 

 

This pack contains 60 capsules which provides 30 day’s supply

Suitable for Vegans",https://www.fertilitystore.ie/nhp-advanced-fertility-support-for-women-60-caps/,https://cdn11.bigcommerce.com/s-c7kc4/products/78/images/420/NHP-Fertility-Support-For-Women__21708.1511433617.386.513.jpg?c=2,36.99,EUR,5060018861999,41034,NHP,,5060018861999,5060018861999,,,
79,NHP Advanced Fertility Support For Men (90 Caps),"Fertility support for men contains the highest quality and most important
vitamins and minerals scientifically known to help with conception and increase
fertility. Each ingredient is at the highest effective dose to help achieve the
best results.

NHP Fertility Support for Men has been specially formulated to maximise your
chances of conceiving. It is important that you and your partner are of optimum
health in order to conceive. By increasing your nutrient intake and addressing
any nutrient deficiencies, this helps improve sperm quality and enhance sperm
production to increase chances of pregnancy. The Natural Health Practice and Dr
Marilyn Glenville have designed this supplement to contain all of the key
nutrients to increase fertility in one capsule. If you are finding it difficult
to conceive or simply want to want to prepare for conception then Fertility
Support for Men is the ideal choice of supplement

Advanced Fertility Support includes the following changes:

 * Folic Acid is now in the form of Methylfolate making it more bioavailable and
   more efficiently absorbed
 * Vitamin D3 has been increased from 2mcg to 10mcg - Vitamin D3 plays a key
   roll in fertility as it's vital for hormone function and production
 * 90 capsules which provides 30 days supply
 * 3 capsules per day provides the following amounts

Why have these ingredients been chosen? 

All of the nutrients contained in the supplement are important for fertility
such as: 

 * Vitamin C is an important antioxidant and improves sperm quality
 * Vitamin E has been found to help boost chances of fertilisation
 * Selenium is another antioxidant which helps maximise the formation of sperm,
   in fact, men with a lower sperm count have been found to have decreased blood
   selenium levels
 * Zinc is the a vital mineral for male fertility in particular sperm health
 * L-Arginine & L-Carnitine are amino acids involved in sperm function and
   production, helping to increase sperm count and increase sperm motility

 ",https://www.fertilitystore.ie/nhp-advanced-fertility-support-for-men-90-caps/,https://cdn11.bigcommerce.com/s-c7kc4/products/79/images/419/NHP-FERTILITY-SUPPORT-FOR-MEN__98987.1511433143.386.513.jpg?c=2,36.99,EUR,5060018861982,41035,NHP,,5060018861982,5060018861982,,,
81,PreSeed - Sperm Friendly Lubricant,"PRESEED - SPERM FRIENDLY LUBRICANT

Begin your fertility journey with the aid of PreSeed Sperm Friendly Lubricant.
Recommended by scientists and doctors alike, this fertility friendly personal
lubricant has been formulated to mimic the body’s fertile cervical mucus as it
relieves vaginal dryness without adversely impacting the natural fluids present
in the body that benefit sperm. PreSeed Sperm Friendly Lubricant boasts the same
pH levels as semen and works to deliver the optimal environment in which to
support sperm on it’s journey to fertilise the egg. Power packed with
antioxidants the results show why fertility experts and fertility clinics
endorse and use PreSeed Sperm Friendly worldwide. PreSeed has been clinically
proven not to harm or damage sperm.

What is Sperm Friendly Lubricant?

A sperm friendly lubricant is a ferility friendly personal lubricant that has
been specifically formulated to have the optimal pH (to allow sperm survival)
and the correct osmolality (to prevent irritation of the vaginal mucosa).

Why is PreSeed Sperm Friendly Lubricant Different?

PreSeed is the only FDA approved personal lubricant specifically created to be
sperm friendly. Clinically approved and endorsed worldwide, it boasts active
ingredients and power packed antioxidants that enhance cell function and
increase the chances of conception. PreSeed is the number one choice for couples
who want to experience heightened lubrication during intercourse and when trying
to conceive, and it can also be used purely as a first class lubricant for women
experiencing vaginal dryness.

Directions for use:

 * Apply PreSeed Lubricant up to an hour prior to intercourse.

 * Apply lubrication via the intravaginal applicators, begin by using 1gm and
   increase to your desired level for optimal lubrication.

 * PreSeed is applied to the internal walls of the vagina allowing for maximum
   lubrication and creating the optimal living conditions for the sperm to
   survive in.

 

*packaging of this product sometimes varies between a blue or a pink box. The
product is the same.",https://www.fertilitystore.ie/preseed-sperm-friendly-lubricant/,https://cdn11.bigcommerce.com/s-c7kc4/products/81/images/443/Preseed_Personal_Luricant_40g__84953.1550495012.386.513.jpg?c=2,22.99,EUR,5010724532324,4204,Preseed,,5010724532324,5010724532324,,,
82,Ovulation Tests - 10 Tests,"OVULATION TESTS – 10 TESTS

Detect your ovulation and enhance your ability to conceive with the Ovulation
Test Strips. Designed to detect your LH (luteinising hormone) surge, which
highlights your fertility window (at your most fertile) and confirms ovulation.
Ideal for those who use volumes of tests as they are available at a fraction of
the cost of most chemist branded products and deliver an accuracy as precise as
the leading market brands. With each test strip boasting 20mIu LH sensitivity,
the Ovulation Test Strips are easy to use by simply dipping the strip into the
urine and one of two results will appear. A reading of one line will indicate
that you are not currently ovulating whereas a two line reading suggests that it
is the optimum time in which to have intercourse and increase your chances of
conception.

How Do the Ovulation Tests Strips Work?

The Ovulation Test strip detects the presence of the key fertility hormone LH
(luteinising hormone) which is present in urine and increases significantly
during the middle of the menstrual cycle. The surge in LH triggers ovulation
which is when the ovary releases an egg, ready for insemination. Typically
ovulation will occur approximately 24-48 hours following a positive reading.

Directions for use:

 * Ensure both the test strip and urine are at room temperature before testing.

 * Remove test strip from the foil packaging and dip the strip into the urine
   with the arrow pointing downawards towards the urine.

 * Remove the test strip after 3 seconds and let the strip lie flat on a clean,
   dry, non-absorbent surface.

 * The test will read invalid if the urine goes above the Max line as indicated
   on the test strip.

 * Please ensure that you read the results in 5 minutes as results are invalid
   after this time.

 * Do not use the first morning urine with this test as LH is synthesised early
   in the morning and won’t show up in your urine until later in the day. The
   optimal time for urine collection is between 10.00am – 8.00pm.

 * Reduce your liquid intake about 2 hours before collecting the urine as
   diluted urine can disort the test from detecting the LH surge correctly.",https://www.fertilitystore.ie/ovulation-tests-10-tests/,https://cdn11.bigcommerce.com/s-c7kc4/products/82/images/266/test_embarazo_ovulacion_6__24111.1427111048.386.513.jpg?c=2,6.99,EUR,6942468131046,40977,Core Tests,,6942468131046,6942468131046,,,
83,Early Pregnancy Tests - 10 Pack,"EARLY PREGNANCY TESTS - 10 PACK

Early Pregnancy Tests offer the accuracy of market leading brands at a fraction
of the cost and are ideal for couples who use a high volume of tests. Featuring
a high performing 20mIu sensitivity that ensures accuracy. This simple,
user-friendly pregnancy test detects the HCG hormone secreted by the developing
placenta enabling the detection of your pregnancy as early as 6 to 15 days post
conception.

How Early Pregnancy Tests Work:

A user-friendly pregnancy test, the Early Pregnancy Test detects the HCG levels
present in the body after secretion from the developing placenta as early as 6
to 15 days after conception. Each pack contains ten individually foil wrapped
tests for longer life.

How to Interpret the Results:

 * Place the strip into the urine first thing in the morning, as this is the
   optimal time as urine contains it’s highest concentration of HCG at this
   time.

 * Ensure the test strip and urine is at room temperature for accurate results.

 * A negative result will show as a pink coloured band appears only in the
   control region of the strip.

 * A positive result is indicated by a clear pink control band and a detectable
   test band appears.

 * An invalid response is shown as no visible band at the control region. It is
   recommended to take another test.",https://www.fertilitystore.ie/early-pregnancy-tests-10-pack/,https://cdn11.bigcommerce.com/s-c7kc4/products/83/images/267/pregenancy-test-strips_1__99010.1427111049.386.513.jpg?c=2,6.99,EUR,6942468131053,40976,Core Tests,,6942468131053,6942468131053,,,
84,First Response Pregnancy Test - 2 Tests,"FIRST RESPONSE PREGNANCY TEST - 2 TESTS

Discover your pregnancy with the rapid accuracy of the First Response Pregnancy
Test, boasting a 99% accuracy from the day of your expected period, First
Response delivers a ‘first to detect’ technology that is able to detect minute
amounts of the HCG hormone as early as six days prior to your missed period.
Through the deliverance of rapid results, it empowers mothers to be to commence
early prenatal care ensuring the optimal health and support for both the mother
and the growing baby.

How First Response Pregnancy Test Works:

Created to detect all relevant forms of urinary HCG , First Response Pregnancy
Tests have been endorsed by the FDA in support of their claims of detecting
pregnancy as early as 6 days prior to the first day of the missed period.

How to Interpret the Results:

 * Easy to read results, two lines indicate that you are infact ‘pregnant’ and
   one line indicates that your are ‘not pregnant’.

 * Results are delivered in just three minutes.

 ",https://www.fertilitystore.ie/first-response-pregnancy-test-2-tests/,https://cdn11.bigcommerce.com/s-c7kc4/products/84/images/325/clearblue__50782.1427278351.386.513.jpg?c=2,13.99,EUR,5010724506387,4154,First Response,,5010724506387,5010724506387,,,
85,Fertilcheck Fertility Test for Couples,"FERTILCHECK FERTILITY TEST FOR COUPLES

 

The babystart¨ FertilTests fertility screening test for both men and women,
measures sperm count in men and the sex hormone FSH in women. This is a
combination twin test pack for couples to share in the privacy of their own
home. For the women there is the babystart¨ FertilCheck Female Fertility
screening test for women which measures the sex hormone that is an indicator of
a their biological fertility clock.

A woman’s fertility starts to decline after she gets to 30 and the decline
gradually accelerates until she gets to menopause. This reduction in fertility
is reflected in a similar gradual increase in the the hormone FSH (follicle
stimulating hormone). Rising levels of FSH tend to be associated with reduced
fertility. The FSH hormone can also be raised in women with irregular periods
and without doubt will steadily rise as a woman gets older. As menopause
approaches the levels get particularly high and act as an early warning system
for peri-menopause. The babystart¨ FertilCheck Female Fertility home diagnostic
screening test is a rapid test of FSH concentration in urine. The kit contains
two ECOstripª Female Fertility tests and if both test results are positive it is
an indicator of reduced fertility. The test is greater than 99% accurate. With
this test a negative result is going to be good news although its not proof of
fertility. A positive test result suggests that fertility is reduced and we
recommend that a woman see her doctor to discuss the results and perhaps have
more tests done.

For the man the babystart¨ FertilCount Male Fertility test is a rapid diagnostic
test of sperm concentration in semen. Sperm count is widely recognised as the
major indicator of the fertility in men. There is a one test kit and a two test
kit. The World Health Organisation has defined a man’s fertility on the basis of
the concentration of sperm in semen with the cut off point being set at 15
million sperm per mL of sperm. The babystart¨ FertilCount Male Fertility test
kits are a unique home test that will tell you if a man’s sperm concentration is
greater or less than the WHO cut off point. A positive result is going to be
good news although its not proof of fertility. A negative result suggests then
man should see his doctor, which is not all bad news, because it does at least
save the a couple months of futile trying for a baby.

The babystart¨ FertilCheck Female Fertility test kit and the babystart¨
FertilCount Male Fertility test kit will allow a couple planning a pregnancy to
test their fertility potential, privately and discreetly in their own home.

 

For Self Test Use FertilTests contains:

2 x FertilCheck Female Fertility Tests

2 x FertilCount Male Fertility Tests 

This kit measures sperm count in men and the sex hormone FSH in women

 

 

 ",https://www.fertilitystore.ie/fertilcheck-fertility-test-for-couples/,https://cdn11.bigcommerce.com/s-c7kc4/products/85/images/354/fertility_test_for_couples__40613.1464176564.386.513.jpg?c=2,44.99,EUR,5060258800185,4181,Babystart,,5060258800185,5060258800185,,,
86,Proxeed - Plus 30 x 5g sachets,"PROXEED - PLUS 30 X 5G SACHETS

Optimise and protect sperm quality with Proxeed Plus, a male fertility
nutritional supplement created to enhance sperm quality and protect against free
radicals. The term sperm quality refers to sperm count, sperm concentration,
motility and morphology (the shape). Boasting a choice selection of highly
effective vitamins and minerals, Proxeed Plus has been scientifically proven to
provide the nutritional support necessary for raising a man’s sperm count,
motility, sperm health, sperm energy production and for supporting the overall
quality of the sperm. Proxeed Plus Male Fertility Supplement features
ingredients vital for sperm development and membrane stabilisation.

What Are The Active Ingredients In Proxeed Plus?

Proxeed Plus includes the fertility enhancing L-carnitine, Acetyl-L-carnitine,
Coenzyme Q10, Folic Acid, Fructose and citric acid, Vitamin C, Vitamin B12,
Selenium and Zinc. It is recommended that you take Proxeed Plus for at least 6
months. Elevating your sperm count and optimising sperm quality can take some
time, sperm take approximately 74 days to mature and an additional 20 days to be
viable for fertilisation. Therefore, it will take 6 months in which to fully
optimise sperm quality and is the usual recommended course of supplementation.

Directions for use:

Take two sachets of Proxeed Plus per day, one in the morning and one in the
evening. Each sachet should be mixed with at least 4 ounces (1/2 cup or 120ml)
of juice or cold drink and stir for one minute. Proxeed should be consumed as
soon as mixed and should not be stored to be taken later. Do not exceed the
recommended dosage of 2 sachets per day.",https://www.fertilitystore.ie/proxeed-plus-30-x-5g-sachets/,https://cdn11.bigcommerce.com/s-c7kc4/products/86/images/424/pck-shot-proxeed-plus__07395.1427111053.220.290__95109.1513605957.386.513.jpg?c=2,46.99,EUR,3401597431807,4217,Proxeed,,3401597431807,3401597431807,,,
95,Zita West Vital Dha : Men & Women,"ZITA WEST VITAL DHA - MEN & WOMEN

Choose Zita West Vital DHA nutritional supplement, specifically formulated to
optimise your reproductive health. Vital DHA boasts Omega 3 essential fatty
acids (EFA’s) plus a small amount of Zinc, created to protect both partner’s DNA
from oxidative damage during preconception aswell as supporting normal fertility
and healthy, vital sperm production. Essential Fatty Acids are vital structural
elements in the formation of healthy cell membranes and body tissue during
pregnancy.DHA (Docosahexaenoic Acid) in particular plays a crucial role in the
development of a baby’s brain throughout the pregnancy and in early infancy.
Fertillity and Pregnancy specialist Zita West has suggested that “DHA will
become as important for pregnancy as Folic Acid in the future”, and it’s never
to late to start your supplementation, as your baby is entirely reliant on your
personal supply of DHA.

Why is DHA Important?

Medically recognised for reducing the risk and incidence of spinal anomalies in
baby’s, Folic Acid is a proven vital step in your prenatal care. Alongside this
essential supplement DHA is gaining both reputation and momentum as a vital
nutritional supplement throughout pregnancy and in particular during the initial
12-16 weeks as the baby’s brain and nervous systems are beginning to develop. It
is also crucial that DHA levels are optimally maintained during the third
trimester as your baby is totally reliant on your stores. Supplementing with
Vital DHA works to defend against any dietary deficiency in both partners.

Directions for use:

Take one capsule two times a day with food. Should only be taken on a full
stomach. Vital DHA is free from artifical colours, preservatives and gluten.
Non-GM, capsule shells are made from fish gelatin and contain no meat products.",https://www.fertilitystore.ie/zita-west-vital-dha-men-women/,https://cdn11.bigcommerce.com/s-c7kc4/products/95/images/274/zita_west_vital_dha__86483.1427111057.386.513.jpg?c=2,18.99,EUR,5060074940232,4290,Zita West,,5060074940232,5060074940232,,,
