Product ID,Product Name,Product Description,Product URL,Product Image URL,Product Price,Currency,Spec UPC,Spec SKU,Spec Brand,Spec MPN,Spec ISBN,Spec EAN,Product Tags,Blacklisted,Product Group
2379,Belly Bandit Mother Tucker Leggings,"Our Mother Tucker® Compression Leggings will give you a leg up on looking trim
and toned. This wardrobe essential shapes and supports you from the waist down.
It’s our surgery-free way to help you smooth your tummy and thighs while giving
your butt that added boost.

 * Tummy-Ââattening center with an additional layer of compression
 * 3 targeted compression zones shape your belly, butt and thighs
 * 360° of compression
 * Smoothes “muffin top”
 * Seamless, breathable knit
 * Holds its shape wash after wash

Sizing: 

 * Small 2-6
 * Medium 8-10
 * Large 12-16

Care: 

Hand wash cold, lay flat to dry. No bleach.",https://www.inhealth.ie/belly-bandit-mother-tucker-leggings/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2379/images/8065/Belly_Bandit_Mother_Tucker_Leggings__56365.1570003581.386.513.jpg?c=2,99.99,EUR,,,Belly Bandit,,,,,FALSE,
2380,BabyDan Flexi Fit Wooden Stair Gate (69 - 106.5 cm),"From Danish baby safety experts BabyDan [%%GLOBAL_ShopPathSSL%%/babydan-2/]
comes the Flexi Fit: a unique and ultra flexible installation system which will
fit almost any opening. The wall fittings can be turned to fit either inside or
outside the door frame, and the Flexi Fit gate can open in both directions.
Quick release makes it easy to mount and detach if required. 

Key Features:

 * Screw Fit Gate with no Trip Bar
 * Fits openings from 69 to 106.5 cm wide; 74 cm in height
 * When mounted inside a door frame the gate fits openings from 67 to 106 5 cm.
   When mounted outside of door frame the maximum measurement will be about 5 cm
   less
 * Can be fitted inside openings, to the outside of the wall, or diagonally
 * Simple to build and comes with all the fixings
 * Includes stop pins for mounting at the top of stairs
 * Two-way one-handed opening and locking
 * FSC certification: the ""gold standard"" designation for wood harvested from
   forests that are responsibly managed, socially beneficial, environmentally
   conscious, and economically viable
 * Tested and approved in accordance with EN1930:2011",https://www.inhealth.ie/babydan-flexi-fit-wooden-stair-gate-69-106-5-cm/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2380/images/6599/baby-dan-flexi-fit-wood-55012__44219.1549532372.386.513.jpg?c=2,57.99,EUR,5705548024888,40747,BabyDan,40747,5705548024888,5705548024888,,FALSE,
2382,Omron M6 Comfort Automatic Upper Arm Blood Pressure Monitor,"Keep an eye on your blood pressure from the comfort and safety of your own home
with the OMRON M6 comfort upper arm blood pressure monitor. It features
Intelli-wrap cuff technology has been designed to eliminate the common
inaccuracies caused by incorrect cuff positioning.

Key Features:

 * Intelli Wrap Cuff (M-L 22-42 cm).
 * Memory capacity for 100 readings.
 * 2 Users + Guest Mode.
 * Helps to diagnose and monitor hypertension.
 * Can help to detect cardiovascular risk.
 * Easy to read LED indicators.
 * Comes with a storage bag.
 * Body movement detection technology.
 * State of the art irregular heartbeat detection.

Blood pressure level monitoring with indicators.

Box Contains:

 * 1x M6 comfort blood pressure monitor.
 * 1x Intelli wrap cuff.
 * 1x Instruction manual 1 and 2.
 * 1x Batteries and storage case.

How to use: 

 * Place cuff in the correct position on the arm.
 * Press 'Start' to begin reading.
 * View information on screen.
 * Press 'Stop' to end reading.
 * View full instructions manual here.
   [https://www.omron-healthcare.com/on/demandware.static/-/Sites-master-catalog/default/dwaf70c5f1/pdfs/EN/IM1_2_web_IM-HEM-7360-E-EN-04-01-2020.pdf]

Related Products:

 * Finger Pulse Oximeter - Bargraph Display
   [%%GLOBAL_ShopPathSSL%%/finger-pulse-oximeter-bargraph-display/].",https://www.inhealth.ie/omron-m6-comfort-automatic-upper-arm-blood-pressure-monitor/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2382/images/8402/Omron_M6_Comfort_Automatic_Upper_Arm_Blood_Pressure_Monitor__15001.1627646593.386.513.jpg?c=2,94.99,EUR,4015672111745,40485,Omron,40485,4015672111745,4015672111745,,FALSE,
2383,Pregnacare Conception - His & Hers 60 Tablets,"Pregnacare® His & Her Conception now provides the opportunity for couples to
take a convenient, balanced daily formula specifically developed with nutrients
for male and female reproductive health as well as overall wellbeing. The extra
value dual pack contains both Pregnacare® Conception and Wellman® Conception
nutritional tablets, which have been specifically designed to support both men
and women who are trying for a baby.

Pregnacare® Conception Tablets For Women

Introducing Pregnacare® Conception

Pregnacare® Conception provides a carefully balanced comprehensive formulation
of micronutrients including inositol, l-arginine, n-acetyl cysteine and
selenium. The formula also includes vitamin B12 and D plus folic acid at 400mcg.

Recommended Folic Acid level

Pregnacare® Conception provides 400mcg folic acid, the exact level recommended
by the UK Department of Health for all women who are trying to
conceive.Supplemental folic acid intake increases maternal folate status*. Low
maternal folate status is a risk factor in the development of neural tube
defects in the developing foetus. Folic acid also has a role in the process of
cell division and also contributes to maternal tissue growth during pregnancy.

Female reproductive health

Certain nutrients can play a role in helping support reproductive health in
women. Pregnacare® Conception includes zinc which contributes to normal
fertility and reproduction whilst vitamin B6 contributes to the regulation of
hormonal activity. The formula also includes vitamin B12, iron, magnesium and
vitamin D which have a role in the process of cell division.

All-round nutritional support

Pregnacare® Conception provides all round nutritional support including biotin &
copper which contribute to normal energy release and iron which contributes to
the normal function of the immune system & formation of red blood cells and
haemoglobin. Vitamins B6 & B12 are contribute to the normal functioning of the
nervous system. The formula also includes other key nutrients; L-Arginine,
Inositol, N-Acetyl Cysteine and Betacarotene.

This product is designed for women of child-bearing age. 
*The beneficial effect is obtained with a supplemental folic acid daily intake
of 400mcg for at least one month before and up to three months after conception.

Wellman® Conception Tablets For Men

Supporting reproductive health

When couples decide to try for a family, it is not only women who should look
after their diet and lifestyle in order to maintain their health and support
conception.

Introducing Wellman® Conception

Wellman® Conception recognises that men have distinct reproductive health needs
of their own. Many men now recognise the importance of and adopting a healthier
lifestyle when trying for a baby.

Wellman® Conception has been developed to provide a comprehensive combination of
vitamins and minerals and bio-active nutrients to help support all round health
and vitality including iron which contributes to normal energy release, as well
as specific nutrients which have been chosen for their role in fertility and
reproduction.

Nutritional Support for Fertility

Wellman® Conception is a comprehensive formulation with specific nutrients,
including zinc which contributes to normal fertility and reproduction. Zinc and
vitamin C both contribute to the protection of cells from oxidative stress, and
also help contribute to the normal function of the immune system.

Zinc is arguably one of the most important minerals for the male reproductive
system as semen contains 100 times more zinc than is found in the blood. In fact
each ejaculation contains around 5mg of zinc; one half of the whole recommended
daily nutrient intake, therefore 15mg of zinc has been included within the
formulation.

Conception & Spermatogenesis

Vitamin B6 contributes to the regulation of hormonal activity, zinc contributes
to normal testosterone levels in the blood and selenium contributes to normal
spermatogenesis. It is now known that folic acid not only plays a critical role
in female conception, for the early development of the foetus, but is also
important for the male's role in conception too. Folic acid, iron, magnesium and
vitamin B12 have a role in the process of cell division, plus vitamin A, which
has a role in the process of cell specialisation.

For all round health and vitality

Vitamins B6 & B12 along with copper, iron and zinc contribute to normal energy
release. Folic acid, vitamin B6, riboflavin (vit. B2) contribute to normal red
blood cell formation as well as iron, contributes to normal formation of red
blood cells and haemoglobin which carries oxygen and blood to the reproductive
organs. Vitamins B6 & B12 contribute to the normal functioning of the nervous
system. The formula also includes other key nutrients; Peruvian MACA Extract,
Co-Q10, Lycopene, Siberian Ginseng Extract and Pine Bark Extract.

When to use Pregnacare® His & Her Conception

Men and women should use Pregnacare® His & Her Conception as soon as they start
trying for a baby. To help build the body's nutritional stores it can even be
taken for 3-6 months before you start to try for a baby. Once you have confirmed
you are pregnant, women can continue to use up any remaining Pregnacare®
Conception tablets, before moving on to Pregnacare® , Pregnacare® Plus with
Omega-3 or Pregnacare Max with Omega-3 plus Calcium which are specially
formulated for the remainder of your pregnancy. Following conception, men can
move onto Wellman® tablets which provide a comprehensive formulation of over 28
essential bio-elements plus vitamins B6 & B12, zinc, copper, iron which
contribute to normal energy release, health & vitality for men of all ages.",https://www.inhealth.ie/pregnacare-conception-his-hers-60-tablets/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2383/images/6059/pregnacare_conception_-_his_hers_1__37467.1549532373.386.513.jpg?c=2,26.99,EUR,5021265250615,40459,Vitabiotics,40459,5021265250615,5021265250615,,FALSE,
2384,Dreambaby Baby On Board,"Dreambaby® Baby on Board Signs assists to boost driver consciousness to make it
safer for you and your children on the road. Baby on Board Sign for placement in
your vehicle. Protecting your most precious cargo whilst on the move. Always
ensure that all children are properly restrained while in a vehicle.

Features :

 * Attaches to windscreen with strong suction cap.
 * Bright yellow color which is simply noticeable.
 * Effortlessly removed. ",https://www.inhealth.ie/dreambaby-baby-on-board/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2384/images/8377/Dreambaby_Baby_On_Board_sign__15284.1588241975.386.513.jpg?c=2,5.99,EUR,5017353505521,42280,Dreambaby,42280,5017353505521,5017353505521,,FALSE,
2387,Mustela Stretch Marks Cream 3 in 1,"Formulated with ingredients of natural origin, the Mustela® Maternity Stretch
Marks Cream moisturizes and leaves the skin supple. Essential to help to limit
the appearance of stretch marks during pregnancy!

Features :

 * Dermatologist Tested
 * Ingredient Safety Policy
 * 96% Ingredients of natural origin
 * Provides long-lasting hydration
 * Reinforces skin elasticity
 * Softens sensations of discomfort
 * Increases in hydration 4 hours after application: +31%
 * Reinforces skin elasticity: 98%
 * Decreases sensations of discomfort immediately on a long-term: 81% and 75%

Usage :

 * Starting from the first month of pregnancy and continuing after birth, apply
   this cream to abdomen, hips, thighs and breasts, morning and evening.
 * Do not apply to recent cesarean scars.",https://www.inhealth.ie/mustela-stretch-marks-cream-3-in-1/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2387/images/8285/mustela_stretch_marks_cream_3_in_1__90682.1583140853.386.513.jpg?c=2,22.99,EUR,3504105033828,5735,Mustela,5735,3504105033828,3504105033828,,FALSE,
2389,Dr Brown's Microwave Steriliser Bags 5Pk,"The Dr. Brown's Natural Flow Microwave Steam Sterilizer Bags sterilizes parts
from Dr. Brown's baby bottles, eliminating 99.9% of most household bacteria and
germs. They are designed to fit all Dr. Brown's baby bottle parts, and they are
perfect for steam cleaning while onÛtheÛgo or while traveling. Five
sterilizer bags come to a pack, and each bag is reusable – up to 20 times. This
offers moms 100 uses per retail pack.

Sterilizes parts from Dr. Brown’s baby bottles.

 * Quickly sterilizes bottles and parts
 * 20 uses per bag
 * Safe for hospital use
 * Sterilizes bottles, parts and nipples
 * Perfect for pacifiers and training cups too
 * Ideal for travel – just add water

 ",https://www.inhealth.ie/dr-browns-microwave-steriliser-bags-5pk/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2389/images/5076/dr-browns-microwave-steriliser-bags-5pk__77226.1524056527.386.513.jpg?c=2,9.99,EUR,072239009604,5141,Dr Browns,5141,072239009604,072239009604,,FALSE,
2390,Basq Resilient Body Stretch Mark Oil - Citrus,"gift icon
[https://cdn11.bigcommerce.com/s-1jn0h8pjbp/product_images/uploaded_images/gift-icon-2-.png?t=1621431266&amp;_ga=2.186276649.1213338328.1621407170-9852056.1620197612]

Free Basq Cooling Body Bliss Lotion 30ml
[%%GLOBAL_ShopPathSSL%%/free-basq-gift-with-purchase/] when you spend €50 or
more on Basq

100% pure botanical oils blended for optimum stretch mark prevention and repair.
Omegas, antioxidants and skin toners all in one beautiful blend. Resilient body
oil is rich in omega's that tone, nourish and strengthen skin. Omega rich
essential fatty acids and antioxidants promote collagen and elastin build for
better stretch and resiliency. You'll love how fast this oil absorbs soothing
itchy, dry, stressed skin. Perfect for stretched skin during pregnancy, after
weight loss or as an all over body moisturizer and toner.

 * Award winning 100% botanical oil that strengthens and tones skin while
   smoothing damage with a bright citrus aroma
 * Omega rich skin oils fuel the build of collagen and elastin for better
   stretch mark prevention and damage repair
 * Nutrient rich hazelnut and wheat germ plus eucalyptus and vitamin E give
   instant soothing to itchy skin that feels dry and depleted",https://www.inhealth.ie/basq-resilient-body-stretch-mark-oil-citrus/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2390/images/5423/basq-resilient-body-stretch-mark-oil---citrus__08567.1524056527.386.513.jpg?c=2,29.99,EUR,891404001898,5726,Basq,5726,891404001898,891404001898,,FALSE,
2392,"Silverette Nursing Cups - The Orginal Cup, Pure 925 Silver","Silverette (also known by the name Breast Angels) are small cups crafted out of
pure 925 silver that fit over and help to protect nipples while breastfeeding.
Silver is a natural antimicrobial, antifungal, and antibacterial metal that also
contains anti-inflammatory agents. It heals and prevents cuts, wounds, cracks,
soreness, and infections. They are made in one universal size as the specially
rounded peak fits any nipple without compressing it.

Sizes:

Regular:

 * Bra Size: C cup or less

Extra Large:

 * Bra Size: C cup or more

Key Features:

 * Antimicrobial, antifungal and antibacterial.
 * The only & original nursing cups made in Italy by fully licensed
   silversmiths.
 * Easy and comfortable to use – no additional creams or lotions necessary.
 * Since 2002 a resounding success with mothers, midwives and obstetricians.

How to use:

 * After your breastfeeding session, leave a couple of milk drops in each cup
   and apply them directly to the nipple like cupping glass.
 * Keep them on as much as possible between breastfeeding sessions.
 * Remove cups and rinse nipples accurately with water before breastfeeding.
 * Do not use any other nipple treatment in conjunction with SILVERETTE®: this
   could reduce or even compromise the efficacy of the product. 
 * To clean SILVERETTE® make a paste using Bicarbonate Soda (you should find it
   in the baking section of any supermarket) mixed with a small amount of water,
   rub this mix on the cups, rinse accurately and dry.

Related Products:

 * Try the Haakaa Ladybug
   [%%GLOBAL_ShopPathSSL%%/haakaa-ladybug-silicone-breast-milk-collector-75ml-1-pk/] throughout
   the day to catch let down milk so it isn’t lost.
 * The Haakaa Disposable Nursing Pad Butterfly
   [%%GLOBAL_ShopPathSSL%%/haakaa-disposable-nursing-pad-butterfly/] can help
   prevent leakages on to your clothes.

Featured Review:

Best Money I Ever Spent ⭐⭐⭐⭐⭐

""These little cups are life changing for your breastfeeding journey!!! They are
an investment and not a waste of money. I wish I knew that for my first
breastfeeding journey. Every first time mum should put these on their essentials
list! Then you will have them for any subsequent babies you might have.
Therefore the cost is tiny compared to the reward."" - Marie F. ",https://www.inhealth.ie/silverette-nursing-cups-the-orginal-cup-pure-925-silver/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2392/images/5847/silverette_-nursing-cups---the-original-cup_-pure-925-silver__16349.1627646317.386.513.jpg?c=2,51.99,EUR,8050762711463,,Silverette,,8050762711463,8050762711463,,FALSE,
2394,Durex Condoms Extra Safe - 12 Pack,"Slightly thicker than our standard condoms for those who want ultimate
reassurance and don’t want to sacrifice comfort.

Durex Extra Safe is designed for those who want peace of mind in knowing that
the condom they are using is safe.

However, just because you want the peace of mind that comes with extra
reassurance doesn't mean you want to sacrifice comfort - and with the Extra Safe
you don't have to. The special way we make Durex Extra Safe means they smell
better so there are no unpleasant distractions, you can just relax and enjoy.

Easy-On Shape
Specially developed with you in mind, Durex Easy-On condoms are shaped to be
easier to put on and more comfortable to wear.

Smells Better
The special way we make our condoms means they smell better.

World's Nº 1 Condom Brand
With over 80 years of experience, Durex is trusted by millions of lovers around
the world every day

Durex Quality

Durex doesn't just meet worldwide condom quality standards, it exceeds them,
giving you the confidence to love the sex you have.

Nominal width: 56mm",https://www.inhealth.ie/durex-condoms-extra-safe-12-pack/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2394/images/6023/durex_extra__15237.1524056527.386.513.jpg?c=2,11.99,EUR,5052197045215,100265,Durex,100265,5052197045215,5052197045215,,FALSE,
2396,Babydan TV Strap - 2 Pack,"From baby safety experts BabyDan [%%GLOBAL_ShopPathSSL%%/babydan-2/] comes the
essential safety strap for babyproofing your flat screen TV.


Key Features:

 * Safety strap that can prevent the flat screen television from tipping over
 * Secures to the back of the TV unit with fixings included, and then to back of
   cabinet or wall
 * Pack comes complete with an assortment of fixings for the most popular TV
   models

Box Contains: 

 * 2 Straps, screws, fittings
 * If required, you can source additional screws from your local hardware store

Specifications:

 * Strap Approx 75cm

Some related blog posts you may be interested in:  

Blog: 5 Mythis About Furniture Tip-Overs >
[%%GLOBAL_ShopPathSSL%%/blog/5-myths-about-furniture-tip-overs/]

Blog: Our Guide To Home Safety
[%%GLOBAL_ShopPathSSL%%/blog/our-guide-to-home-safety/]>

 ",https://www.inhealth.ie/babydan-tv-strap-2-pack/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2396/images/6044/babydan-tv-strap---2-pack__86388.1524056527.386.513.jpg?c=2,8.99,EUR,5705548023850,41589,BabyDan,41589,5705548023850,5705548023850,,FALSE,
2397,Ardo Coolbag Complete,"This bag comes ready to use, adding yet another element of convenience and
functionality. Simple pour expressed milk into the bottles, seal, and be on your
way!
The milk will be kept at a suitable temperature for up to 24 hours, making the
bag ideal for shopping trips and even holidays.

The bag has a robust lining and comes with cooling elements and 6 bottles made
from the highest quality Bisphenol-A free materials.

Features

 * Safe transportation of breastmilk
 * Robust insulated lining.
 * Includes cooling elements.
 * 6 bottles made from premium-quality Bisphenol-A free materials

Always read the full instructions before use.",https://www.inhealth.ie/ardo-coolbag-complete/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2397/images/4868/ardo-coolbag-complete_1__86027.1524056527.386.513.jpg?c=2,26.99,EUR,7640109051973,43871,Ardo,43871,7640109051973,7640109051973,,FALSE,
2400,Zita West - Vitafem,"Vitafem is a multi-vitamin and multi-mineral women’s fertility
supplement specially developed to help support female fertility. Vitafem
redresses nutritional imbalances and prepares the body for conception. It’s a
simple and effective way for women to ensure they are getting the essential
nutrients they need while preparing for pregnancy.

Key Features :

 * Premium quality multivitamin and mineral.
 * Now suitable for Vegans.
 * Ensures women are getting the essential nutrients they need while preparing
   for pregnancy.
 * With 400mcg folic acid in the active form, folate 5-MTHF, ready for the body
   to use right away.
 * New formulation contains extra Vitamins C, B6 and Chromium as well as the
   addition of Choline.
 * More potent than Pregnancy Plan - providing extra support for women with
   nutritional imbalances, or insufficient intake of nutrients from food, or
   with increased demands for nutrients.

How to Use :

 * For use during preconception for women over 35, or for younger women who
   don’t always eat as well as they might, are very active, stressed, or have
   some digestive issues which could affect how well nutrients are absorbed.
 * Take 2 capsules daily.

Relevant blogs:

Read: Pregnancy Prep For Mums-To-Be
[%%GLOBAL_ShopPathSSL%%/blog/pregnancy-prep-for-mums-to-be/].

Read: Are you ready to be a fertility success story?
[%%GLOBAL_ShopPathSSL%%/blog/are-you-ready-to-be-a-fertility-success-story/]

Related Products:

 * Combine with Vital DHA 
   [%%GLOBAL_ShopPathSSL%%/zita-west-vital-dha-men-women/]to boost your Omega 3
   intake and Vitamin D Spray to help boost your important Vitamin D levels.
   https://www.zitawest.com/product/vitafem-boost/",https://www.inhealth.ie/zita-west-vitafem/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2400/images/8460/Zita_West_Vitafem_Front__57429.1591967319.386.513.jpg?c=2,25.99,EUR,5060074940003,4881,Zita West,4881,5060074940003,5060074940003,,FALSE,
2401,Babydan Finger Safe - 2 Pack,"Baby Dan [%%GLOBAL_ShopPathSSL%%/brands/BabyDan.html] Finger Safe is a child
proofing door stopper. The Finger Safe is mounted on the side of the door and
therefore preventing the door from slamming and possibly squeezing the fingers
of your child.

Features:

 * Protects little fingers from being hurt
 * Easy to install and to use

View the full range of BabyDan products here
[%%GLOBAL_ShopPathSSL%%/brands/BabyDan.html]

You may be interested in: 

Blog: Our Guide To Home Safety >
[%%GLOBAL_ShopPathSSL%%/blog/our-guide-to-home-safety/]

Blog: A Baby-Proofing Checklist 
[%%GLOBAL_ShopPathSSL%%/blog/a-baby-proofing-checklist/]>",https://www.inhealth.ie/babydan-finger-safe-2-pack/,https://cdn11.bigcommerce.com/s-1jn0h8pjbp/products/2401/images/6291/babydan-finger-safe---2-pack_1__83471.1524056527.386.513.jpg?c=2,4.99,EUR,5705548023744,40751,BabyDan,40751,5705548023744,5705548023744,,FALSE,
